,2020,2025,2030,2035,2040,2045,2050
AT,0.05,0.05,0.04,0.03,0.02,0.0,0.0
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,0.07,0.07,0.09,0.18,0.15,0.13,0.13
BG,0.01,0.01,0.01,0.01,0.0,0.0,0.0
CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.08,0.08
DE,0.22,0.28,0.22,0.29,0.28,0.31,0.31
DK,0.36,0.42,0.48,0.47,0.45,0.43,0.54
EE,0.01,0.05,0.07,0.1,0.09,0.09,0.09
ES,0.08,0.07,0.05,0.02,0.01,0.0,0.0
FI,0.01,0.03,0.05,0.07,0.07,0.06,0.07
FR,0.04,0.23,0.34,0.33,0.31,0.3,0.3
GB,0.12,0.23,0.31,0.3,0.28,0.26,0.26
GR,0.06,0.06,0.05,0.03,0.01,0.0,0.0
HR,0.02,0.02,0.02,0.02,0.01,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,0.06,0.07,0.1,0.1,0.1,0.11,0.11
IT,0.06,0.06,0.05,0.03,0.01,0.0,0.0
LT,0.01,0.01,0.01,0.01,0.0,0.0,0.0
LU,0.03,0.03,0.03,0.02,0.02,0.0,0.0
LV,0.0,0.0,0.02,0.03,0.04,0.04,0.04
NL,0.12,0.81,0.89,0.86,0.82,0.79,0.79
NO,0.01,0.01,0.02,0.02,0.02,0.02,0.02
PL,0.03,0.02,0.02,0.04,0.08,0.1,0.1
PT,0.11,0.11,0.1,0.05,0.01,0.0,0.0
RO,0.03,0.02,0.02,0.02,0.0,0.0,0.0
RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,0.04,0.08,0.08,0.08,0.07,0.06,0.06
SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
