scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,capital,offwind,3132497432.89207,3516261555.2968946,19137842155.75604,33691169909.389114,35420921263.82551,35660666604.590294,37797642771.54549,3132497432.89207,2905954204.9977326,12957876263.62806,36375241063.25796,38778022096.60447,36639793803.759705,36891593805.66439
generators,capital,onwind,29296986903.478416,47235674731.63126,52332783636.02545,61067310554.97543,71081090316.07977,78417396267.10338,89444879394.97195,29296986903.478416,37501653978.23184,50508427957.20793,72480177280.01205,90184647444.55287,86569098934.1105,87713693121.84106
generators,capital,ror,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428
generators,capital,solar,6511857536.388425,8835817614.62896,20722989194.607376,22631917653.49844,24118139337.38959,24075801127.26766,30679280016.730316,6511857536.388425,4392340616.208412,18772346476.89492,22801732677.084354,24083190448.483646,23010167709.074158,29528468020.622864
generators,marginal,offwind,160906856.11637035,182340520.03416166,1040232146.3994427,1738793717.4233751,1813575227.87209,1792462237.3778172,1884133365.439515,160906856.11637035,144135017.59287727,714250006.467951,1879148419.88535,1980557654.0945654,1860812656.6097028,1843890825.4444644
generators,marginal,onwind,1843179223.1499906,3096470951.9199247,3503303894.3869777,4028564378.2046633,4552287590.815371,4995316605.255045,5657543563.421536,1843179223.1499906,2429839073.0420556,3372474463.880915,4630552282.940382,5806238520.858895,5619919885.558272,5613729973.624069
generators,marginal,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,solar,983176.046069958,1708271.211742876,4485709.471910444,5104419.18165784,5759525.190436236,6177954.888710311,8325458.768154783,983176.046069958,737925.3542167752,4081269.148109246,5129146.544139706,5764677.5697941175,5931736.548400237,8031672.980215981
links,capital,CCGT,9043483573.487726,8465147842.919906,7408241580.787996,2761933531.7569766,1119790637.6057346,116087936.94811909,9393470.49302245,9043483573.487726,8463838388.411737,7406867768.298844,2759323929.2193666,1117075763.292828,117194539.50755954,10997383.951086754
links,capital,H2 Electrolysis,6794331.863210826,9988833.635612141,10169929.964379193,661155375.1566589,3993511690.6328716,6228665109.452215,10689018820.944283,6794331.863210826,7270702.592974184,7386068.382214875,3859506776.2092805,10088997638.1686,10090235361.221264,10857995504.7135
links,capital,H2 Fuel Cell,4734390.367500181,7067027.7800060995,7207046.377319852,310514043.65180105,2041535033.312326,2784644921.9236183,3537717789.5122113,4734390.367500181,5201462.315499598,5287138.640267651,1986101117.7868798,2986098013.0526347,3014377949.257446,3486046038.8835025
links,capital,OCGT,835802709.9415168,799557217.2321829,753293132.4929665,132946870.10798274,56945407.89135663,16200702.741474314,6279756.009759303,835802709.9415168,799107634.257171,752795764.5792588,131580145.89594026,55980940.79572918,18442256.87137776,8792343.347248336
