scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,offwind,48759653.368597105,60780173.344720535,385271165.3331269,675259696.0867475,740234786.8865674,770951499.9474481,856424257.0179613,48759653.368597105,48045005.864292435,264537039.43257448,729766376.6545047,808390879.2222714,800349529.7246033,838132193.3838475
generators,onwind,737271689.2599964,1290196229.9666355,1523175606.255208,1790473056.97985,2069221632.1888046,2323403072.2116485,2694068363.534065,737271689.2599964,1012432947.1008565,1466293245.1656153,2058023236.8623917,2639199327.663134,2613916225.841057,2673204749.344795
generators,ror,157837296.51680505,157833617.4088332,157844184.62070656,157825429.42152297,157808657.8853233,157812911.4569992,157851098.417106,157837296.51680505,157840967.98920986,157850650.25244147,157829879.00359976,157827260.23351094,157810048.31537357,157821944.9026388
generators,solar,98317604.60699576,170827121.17428756,448570947.19104433,510441918.1657838,575952519.0436233,617795488.8710314,832545876.8154786,98317604.60699576,73792535.42167751,408126914.8109246,512914654.4139706,576467756.9794118,593173654.8400235,803167298.0215981
links,CCGT,-29992066.678201687,-15336734.68254485,-11631004.180636419,-54619549.1503047,-2140137.5603356054,-212978.21955361243,-17473.118016462537,-29992066.678201687,-20452900.447715957,-15239008.28685846,-3999049.497848984,-800547.330586208,-198819.2137729514,-56037.05272023748
links,H2 Electrolysis,-84030.04640343481,-108953.96956308775,-70759.60531790405,-7773275.6270920755,-45521718.98297405,-78760246.88343444,-157917802.85781953,-84030.04640343481,-84214.15289487853,-43702.494410328036,-44341401.0112448,-150665397.1716979,-148624058.5092947,-158422353.91775876
links,H2 Fuel Cell,-94432.93912700676,-119296.7629837552,-100858.78134835827,-12982147.224681918,-76327130.74427444,-89053808.2289097,-114637447.40918055,-94432.93912700676,-89719.01554145604,-60045.028999541835,-74385287.11245562,-85398037.02189735,-85362384.10829762,-108558061.81121726
links,OCGT,-3425558.419268716,-1034620.9956073521,-132835.36767320574,-448382.17469861964,-181526.0788144903,-76159.08697158312,-19061.411528134675,-3425558.419268716,-2011478.2560569763,-146915.0852036052,-375327.8065285925,-92116.33938962978,-108948.11361828052,-67499.35247257724
links,Sabatier,-44571.167117837016,-60727.66094153485,-17171.043369249495,-73361.08819576031,-142435.0613148024,-41203403.256753795,-143489977.94484848,-44571.167117837016,-49328.59186176532,-12752.688128408505,-103222.71403326972,-159733258.19391248,-156501040.46990088,-150087258.94280452
links,battery charger,-62470.86337976668,-87481.04870768782,-24113.28904248648,-89580.44131375414,-101758.86548085221,-120960.20914792304,-60498.380161486486,-62470.86337976668,-67529.31557294563,-14945.608869798896,-79318.7851658294,-100313.93358107627,-167812.94824323477,-120836.04075493306
links,battery discharger,-56225.010903752554,-78733.30371998128,-21702.20299443111,-80623.8518100729,-91586.9405878353,-108867.49943589751,-54448.8486868107,-56225.010903752554,-60777.06378019198,-13451.348794829177,-71389.23330423048,-90284.34340031147,-151032.81039898284,-108754.99859781381
