scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
penetration,0.07824898208224669,0.12755768279430732,0.24651228691174917,0.3218593190166078,0.36913156020191173,0.4097774331581304,0.5051289606531655,0.07824898208224669,0.09216583232537341,0.21780654616106299,0.35724618310837625,0.4530802837592464,0.4519730912710199,0.4961972546139966
mix,0.757071405273483,0.7423734849354516,0.7082622864458967,0.7487907096403291,0.7397264403757011,0.740358199529829,0.6918010738369139,0.757071405273483,0.8466164334892895,0.6888665621603672,0.7581506156477577,0.7657454281347117,0.7579360974690302,0.6938043524672076
onwind capacity,283682.920120467,475513.8850391725,549143.733565311,652608.09419221,773869.9173775325,870047.5150091754,1011713.0029532809,283682.920120467,377523.07508888457,530000.2174132814,774573.9894479165,981853.0548180135,960491.3321484921,992131.5168480049
onwind expansion,127531.99612046697,192320.87991870535,79590.90552613871,146836.27462689867,159460.10618532257,137278.70263164313,168722.65294410533,127531.99612046697,94330.06996841745,158438.19932439693,287945.6860346348,245477.34837009682,19739.38233047878,58697.34969951274
offwind capacity,15739.587949879062,19059.29943669163,112599.5842511132,205994.13534969685,225554.28566671748,236910.77255878597,262282.909472195,15739.587949879062,15751.231946591792,76239.08004816796,222405.05008033043,246931.7217477468,243415.5803281025,255995.71425391381
offwind expansion,23.96794987905655,3319.7114868125723,93548.03481442155,93913.15109858365,20491.60031702063,17128.590264395458,33857.86026385776,23.96794987905655,11.643996712730202,60495.598101576186,146684.5700321625,25458.122556576465,2255.961050432141,21065.85527695481
solar capacity,91495.63820421764,138162.7499931547,364960.2635966578,424742.99559169053,484418.55674620735,520640.6767663769,717680.8870123707,91495.63820421764,68681.57367092349,330606.769814762,427929.98764948494,483716.6000120304,497596.28870633565,690759.9236227323
solar expansion,43.63820421762495,69530.1117889371,249660.51360350315,82645.73199503266,82538.56115451682,36222.12002016953,197040.210245994,43.63820421762495,48.93546670583402,284788.19614383846,120186.21783472293,78649.61236254552,13879.688694305383,193163.63491639664
heat pump uti,0.389397162439342,0.381817127166931,0.36992933092823427,0.40067790712620854,0.4348617726056432,0.43034579444018095,0.4194655556436248,0.389397162439342,0.37720291363314895,0.36866334558957736,0.4470180974461321,0.4448551710551217,0.4327880930399121,0.41204842705297173
heat pump capacity,141776.72613609326,143707.19473541505,147490.76835749974,167875.76767740323,209237.16647570377,244595.4170114945,273454.5502092804,141776.72613609326,142489.26656506507,146407.5104610678,201086.65652039796,253124.39830003306,262810.06697355106,279209.76240389305
heat pump energy,1579220629.901918,1569869915.9932458,1558182395.5545886,1924735916.757433,2580737141.404532,2964074478.038966,3220135409.197733,1579220629.901918,1536791800.647025,1543130309.4448507,2554435533.465322,3170901790.1672034,3196046011.2306733,3223310524.5490823
heat pump expansion,23247.726136093246,1930.4685993218227,3783.573622084614,20384.999319903578,41361.39879830054,35358.2505357906,28859.133197785886,23247.726136093246,712.5404289718057,3918.2438960027393,54679.146059330094,52037.741779635115,9685.66867351799,16399.695430342006
