scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
lignite,9.339590602010425,19.224175482097433,30.373961288801304,51.844968501707335,89.45695970961,124.29020407598998,152.87827539900982,9.339590602010425,14.025091846501827,26.318713646201253,88.87901418221504,157.20744946901266,136.22098369399316,137.3337804220081
central water tanks,22.07935995232948,27.46904629681223,29.572554824635493,33.759195155006275,35.83078194039379,36.61450748496022,37.05268356514436,22.07935995232948,26.065284729457623,29.297777370700068,36.18574727068067,37.52775451120762,36.23184506803989,36.69041949135889
battery,43.42429594113421,49.093071809627205,58.07608595979797,65.39063783166434,66.10240788070456,64.32261591628422,65.5905209118261,43.42429594113421,43.98743616980396,54.603670540631725,67.1273963129483,66.7984258459617,62.3425160148637,64.31428162528674
gas,25.205399528698873,30.739583278895484,36.982128027006084,49.00332068809431,70.0615313344074,89.56397653348724,105.5698727529966,25.205399528698873,27.82871908770164,34.71167500549928,69.73795105411119,107.99369176898867,96.24378428378758,96.86681718250988
water tanks,21.208588094765854,23.86650949799549,26.701011574998333,30.320523907900583,32.34842823617371,32.01225952974217,29.725694018649698,21.208588094765854,21.694655622041203,25.432660840979192,33.433834048744046,34.71713001082701,28.46495837427162,24.514537867132592
H2,42.723031147175135,48.10761038412302,45.88323913509692,54.24112414115447,55.175136251290105,52.90507977191862,55.383638481785894,42.723031147175135,43.69578291545671,44.05458350934158,56.07862684507493,56.783740847425065,53.27428052212937,54.66866184662783
electricity,42.928466775539036,48.64696609478065,57.590252122842344,65.72675008996642,66.41362781982505,64.59551879989272,65.67275163100145,42.928466775539036,43.53084726351779,53.87971010572882,67.44628026558559,66.97364821310693,62.28591153405852,64.7278478215028
nuclear,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
oil,54.781492423094555,62.12094466940652,70.39982754380202,86.34237182160543,114.26983834698919,140.13404374499808,161.36111466701377,54.781492423094555,58.26054723939449,67.3887454618112,113.84070514098416,164.57559122198595,148.99282621599752,149.81909444500346
urban heat,22.261255540831325,27.668461127552085,29.99766716194552,34.356426624748856,36.6710526184072,37.404772812490926,38.04101019050001,22.261255540831325,26.19098165148335,29.624760527094722,37.06310882389475,38.57370294065455,37.19674337060598,37.62169131085677
coal,15.225194829702145,25.701671020003456,37.51910867140284,60.27580493890907,100.14001118901201,137.05907857100235,167.35901045302123,15.225194829702145,20.191265011001985,33.22103182860382,99.52745814519345,171.9474165029863,149.70427613100034,150.8837073939834
cooling,25.58432098171361,23.831784458730606,24.990962282461616,29.30343663959552,29.990372786998375,28.703058229812324,27.45029430515052,25.58432098171361,22.596186278078846,23.456486980761618,30.571072690065193,30.055562688971197,26.51024958073255,24.90662790921487
heat,21.241650013074622,23.841786968874285,26.96451455470123,30.697778225646157,32.77279822960323,32.45384453724894,30.300395760101186,21.241650013074622,21.66476542620945,25.62867099411655,33.84638672493864,35.238634094526056,28.931617649463604,25.011575315442478
