scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196
cooling,loads,cooling,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904
electricity,generators,offwind,16902.47491964155,17790.220980657276,107660.0727046553,151314.15707887174,193772.10661014175,211128.67653452788,218773.41734762434,16902.47491964155,16891.499662419923,81895.16366830756,201778.78545429674,245478.8819977406,240232.51093699242,240233.0814054744
electricity,generators,onwind,172043.34512266592,311149.3361655034,362748.1464330426,425313.18719037145,426902.9165490913,415840.3633329946,430802.6688963729,172043.34512266592,233614.51395551712,347681.883707516,468756.48923698213,463331.33341388823,435175.1186307518,439609.61287955334
electricity,generators,ror,49532.559757917894,49532.1288315457,49531.4652761155,49530.737044198504,49527.07911166339,49527.08225293319,49532.95561363691,49532.559757917894,49531.7890181302,49531.507299847886,49530.288561460606,49533.85469403069,49533.86015662359,49533.794287151984
electricity,generators,solar,87099.449627326,202768.4025997128,441919.6462702704,775836.1543346146,990345.3979069667,1215221.2365293184,1461936.265068589,87099.449627326,143657.47414830828,404437.788718449,879234.855705179,1242738.5180045215,1323451.1487481452,1341394.8249099317
electricity,links,CCGT,142982.75274511744,117160.81449810544,95674.02914032187,46116.11427277329,29900.672698023896,25525.196533165443,25034.30052053192,142982.75274511744,119589.82422822322,94448.84671763025,44544.89873944748,25880.088723112185,22364.759306825432,22479.229131967295
electricity,links,H2 Electrolysis,-59.92338462368,-99.83827209427999,-137.28700274970996,-196.86706493206998,-3327.8379653899806,-62712.62582686979,-139652.13059289692,-59.92338462368,-84.64802226623,-129.88478975293003,-2681.9087324955203,-141806.30967054723,-142249.76908100382,-142250.02627006677
electricity,links,H2 Fuel Cell,15.461150009111917,29.927515181157517,32.89394956646059,43.801422303648394,784.9939656546777,787.0336074002834,790.5353966545438,15.461150009111917,28.46227731199921,33.438905700445915,501.7905082087466,510.6119502677902,510.7107991744712,510.6598364816272
electricity,links,OCGT,2455.744969239253,12393.403495200868,12246.625442370289,12468.806012526296,14772.96062559716,14939.354264761898,15091.313316437941,2455.744969239253,8223.824576753872,9433.07829186033,8403.051274780359,9454.817444675713,9563.033553696281,9670.581704057066
electricity,links,battery charger,-271.1495869743,-1985.1800438172997,-39242.9956988376,-279936.4870549559,-415653.4584738109,-528420.1647168907,-651469.7701824954,-271.1495869743,-1994.0951096846006,-19512.819093068,-349727.6016346474,-532357.2354176901,-573390.8378949484,-589342.145491338
