scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816
cooling,loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
electricity,generators,offwind,48759653.368597105,60780173.344720535,385271165.3331269,675259696.0867475,740234786.8865674,770951499.9474481,856424257.0179613,48759653.368597105,48045005.864292435,264537039.43257448,729766376.6545047,808390879.2222714,800349529.7246033,838132193.3838475
electricity,generators,onwind,737271689.2599964,1290196229.9666355,1523175606.255208,1790473056.97985,2069221632.1888046,2323403072.2116485,2694068363.534065,737271689.2599964,1012432947.1008565,1466293245.1656153,2058023236.8623917,2639199327.663134,2613916225.841057,2673204749.344795
electricity,generators,ror,157837296.51680505,157833617.4088332,157844184.62070656,157825429.42152297,157808657.8853233,157812911.4569992,157851098.417106,157837296.51680505,157840967.98920986,157850650.25244147,157829879.00359976,157827260.23351094,157810048.31537357,157821944.9026388
electricity,generators,solar,98317604.60699576,170827121.17428756,448570947.19104433,510441918.1657838,575952519.0436233,617795488.8710314,832545876.8154786,98317604.60699576,73792535.42167751,408126914.8109246,512914654.4139706,576467756.9794118,593173654.8400235,803167298.0215981
electricity,links,CCGT,29992066.678201687,15336734.68254485,11631004.180636419,54619549.1503047,2140137.5603356054,212978.21955361243,17473.118016462537,29992066.678201687,20452900.447715957,15239008.28685846,3999049.497848984,800547.330586208,198819.2137729514,56037.05272023748
electricity,links,H2 Electrolysis,-420150.2320171735,-544769.8478154384,-353798.02658951905,-38866378.13546078,-227608594.91487077,-393801234.4171697,-789589014.2890944,-420150.2320171735,-421070.7644743919,-218512.4720516402,-221707005.05622432,-753326985.8584895,-743120292.5464742,-792111769.5887862
electricity,links,H2 Fuel Cell,130407.3921277712,164743.14888232894,139281.17424297085,17927727.119798772,105404132.93256882,122979068.50659014,158308855.9460112,130407.3921277712,123897.6881286774,82919.3257612722,102722539.34577146,117930622.55404834,117881387.57812504,149913513.92977685
electricity,links,OCGT,2190111.1205160567,661478.9971915846,84927.53015172163,286670.57070895436,116057.65694696926,48691.87527691379,12186.804091758226,2190111.1205160567,1286027.081741346,93929.31676951855,239963.67958385302,58894.05305238644,69655.35132972029,43155.32371197563
electricity,links,battery charger,-624708.6337976614,-874810.487076871,-241132.8904248655,-895804.4131375481,-1017588.6548085144,-1209602.0914792316,-604983.8016148681,-624708.6337976614,-675293.1557294456,-149456.08869798871,-793187.8516582903,-1003139.3358107649,-1678129.482432355,-1208360.4075493396
