scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,capital,offwind,3680570209.8297663,4075836831.8860707,19613631463.955135,28167147006.311596,37622747576.53936,43801302231.60014,43760789584.623215,3680570209.8297663,3454641473.784184,15389332453.99568,42882845650.40141,58354198218.77852,56893043681.00248,56371076423.56804
generators,capital,onwind,19917980053.038136,33737006427.87007,37813577188.30295,44066897240.79059,44230073299.44396,42036435044.216606,43404606829.92009,19917980053.038136,25326270104.333336,36386334785.57864,49911231391.71184,45807955524.00609,42179711263.49884,41833813806.50664
generators,capital,ror,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428
generators,capital,solar,7688785195.079501,14746449313.826942,25939965641.11328,36760198584.039856,41428941725.016785,44529972258.25118,50187987640.58477,7688785195.079501,10757750580.72471,23830110008.145573,40233747506.01128,46284605794.520065,45271114321.14555,40941560535.1293
generators,marginal,offwind,240128870.81433675,262386946.469191,1226639369.8763437,1674457510.0482194,1944461637.758553,2371413720.2926235,2435276719.719515,240128870.81433675,226352086.16392833,971344636.5081778,2225424750.912469,3418502116.6726727,3320730355.3772707,3275362894.2047043
generators,marginal,onwind,556514872.1286192,1076086760.2870593,1245700316.8207507,1534440356.9779613,1556258940.2231812,1493442811.4950922,1544955958.755211,556514872.1286192,781885948.402236,1209851740.708191,1739617922.170212,1632177701.5448647,1529558831.1142914,1512582685.1967258
generators,marginal,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,solar,1307120.2192395788,3408918.4416228463,7128766.968274428,11462006.721107917,14330901.655994069,16871138.961443767,21055504.2323203,1307120.2192395788,2446979.66473643,6525572.530276168,12636067.223691026,16067873.251736693,17250945.945962016,17423781.57176089
links,capital,CCGT,15158934014.26648,11944611322.063028,10455866970.975845,5382123555.653744,3612384048.9032536,3187684198.8726115,3176406347.0406384,15158934014.26648,12226891919.889738,10213115684.124407,5140788185.610938,3369229062.945059,2945094434.0877266,2934647025.746467
links,capital,H2 Electrolysis,9469468.5177519,11476015.67409481,12573087.31745052,12576801.377987577,22411059.19047723,3624199607.1941614,8614024990.782272,9469468.5177519,11931898.850908596,12453236.664230006,23357815.66759563,8567776799.669229,8366309137.983463,8162257039.854071
links,capital,H2 Fuel Cell,8550989.427578116,10568666.103752399,10051433.917524572,9604783.293346986,11003537.972773181,10315467.857794713,9463217.972519865,8550989.427578116,10318133.477516394,9751632.524325958,12407218.846781166,11511452.328152847,10605795.096783629,9701783.786907027
links,capital,OCGT,194720150.84266463,601931649.3641957,544358575.428033,490651021.72652984,481162307.6730967,480202125.82093096,479095806.40404695,194720150.84266463,428987960.6010175,496034316.99737746,442437813.2312544,431479258.7405275,430564194.38251066,429556070.31047255
links,capital,Sabatier,7854073.125589579,9632358.923447775,10073203.757532937,10200434.61854524,17931101.63012443,3857343413.4520383,9710050673.112347,7854073.125589579,10124499.072832147,10347078.142431332,17272096.41897225,8408528702.96529,8502688073.058136,8502703739.776806
links,capital,battery charger,13557319.502515994,36610165.67525826,564867867.3381522,2278222478.06515,2725506453.805249,2702970944.8323207,2735182209.4686513,13557319.502515994,47551060.18823669,280273306.6981953,2896262896.268153,2957467397.070222,2689695239.656965,2133821871.8032246
links,capital,battery discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,biomass EOP,6448756.862237867,8101518.817294843,8325184.556185061,8256161.211541203,10775432.919098739,10735613.494678624,10490508.918075416,6448756.862237867,7701839.811112847,7638290.806290475,8544749.388009543,8351929.086072783,8143095.458671233,7934015.210452761
links,capital,central biomass CHP electric,16812102.488592714,23281886.308380157,25839218.51943906,27457921.806162547,70768944.33772364,152559163.92921728,148889108.54683238,16812102.488592714,21363815.676959157,21250370.863056645,93374506.97884293,91340029.83919774,89048635.53376545,86770662.2735581
links,capital,central biomass CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central biomass HOP,5297992.2644703025,6470725.363176733,6646665.3493719725,6682463.707659268,12565189.260125963,12523966.917911703,12237071.343593812,5297992.2644703025,6108872.970714767,6066642.867935573,10025456.74611646,9791812.872605432,9538022.919148657,9286124.36103709
links,capital,central gas CHP electric,1455794485.6509702,3436074287.17622,4495941881.036644,4428813705.45635,4361116674.071609,4293437266.5851536,4225456894.830324,1455794485.6509702,4237194076.3265986,4812370108.610892,4740202225.129756,4667290785.122093,4594663627.572652,4521882482.120776
links,capital,central gas CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central gas boiler,725436566.1971565,520438584.41336095,355230756.25340325,205133397.30707678,57549032.352456644,57100961.92913671,56622027.836354546,725436566.1971565,532713685.38866127,366486201.28094566,215756176.65373167,67106227.14281474,66535678.935015686,65964642.925375685
links,capital,central heat pump,2584787311.857056,1890904870.400593,1371399311.2742436,2881244836.658481,3788031127.3449645,4492174011.187089,4680299999.284006,2584787311.857056,1890566802.5695639,1288773164.2541482,3848966189.3014913,4315923627.706149,4332778308.32987,4224108870.5008764
links,capital,central resistive heater,132627797.85399014,112878469.60280415,149721553.1450047,480681139.19196033,794007987.4964246,892644452.3986623,898188047.9707128,132627797.85399014,93889006.77303284,120999252.54687662,812621551.9575235,983610495.1666242,983163225.893607,979419769.7302358
links,capital,central water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central water tanks discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,coal,18558400892.707752,13594514839.461304,11450127077.83472,8705080544.24074,6875304734.303525,4967384803.383037,2931580090.878258,18558400892.707752,13595566442.90545,11451113357.087658,8706494129.097836,6875427630.030467,4966912822.014929,2931094656.4999604
links,capital,cooling pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,decentral gas boiler,42619285716.53635,32755509853.908863,25570333476.068485,19048105762.89584,14730120395.36939,14407400805.116611,14082965875.512674,42619285716.53635,32798118262.42874,26279737707.290863,16839335393.908176,10693617025.99946,10563964542.072828,10542498557.126442
links,capital,decentral heat pump,71665383276.00168,69161442040.3446,68070823792.56657,75517260323.83073,85385853827.01677,91221339903.53883,92417740960.12538,71665383276.00168,69157652349.58803,66797206890.64814,86684491679.66026,102276748397.14297,98820091223.5385,95336542072.16429
links,capital,decentral resistive heater,2271129882.776257,2154845624.7720437,2244474204.26736,2153870131.1497965,2144326972.7769103,2149429111.536267,2152092548.987819,2271129882.776257,2149214384.2002907,2134985932.2039332,2257923356.045846,2219875219.841919,2219877390.5418262,2219878522.374409
links,capital,lignite,8705991506.362427,6580967214.074022,5317401176.45651,4581695127.410454,1144563646.6278086,1043493830.8732526,1014127187.6352069,8705991506.362427,6595559960.082748,5331832982.265718,4596070608.081575,1158592298.0242558,1057450058.7413266,1028054173.3345773
links,capital,nuclear,63268145145.18399,27145430975.590755,8394094108.168949,7535097023.351177,5956011718.278519,2316513583.340781,28081887.39775543,63268145145.18399,27148020032.817955,8395833221.417712,7540079052.284951,5958354646.6684475,2318480225.02901,29952355.864441004
links,capital,oil,225902920.01860875,459647399.2793663,406967240.7447068,342954738.37186384,299698215.80034506,274348822.25045073,272622499.43540525,225902920.01860875,305590942.77241683,254157256.34278402,191129628.48650497,148328170.19419697,123806825.43154354,123026043.87422958
links,capital,transmission lines,6840020700.764943,7232216459.260591,7624412217.75624,13784774976.648874,17109501518.99822,18959511210.152096,19216093707.116947,6840020700.764943,7232216459.260591,7624412217.75624,18109234381.88468,22409879463.031994,22455849143.2655,22493680056.66522
links,capital,water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,water tanks discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,CCGT,3739571889.2047205,3364530944.8671246,2471724507.921254,798695606.7794571,114495620.34965523,60167304.13843031,32232864.195233658,3739571889.2047205,3777279521.072662,2553078047.814277,154999109.26262382,51969125.655619495,44080644.20561529,42065443.4021115
links,marginal,H2 Electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,H2 Fuel Cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,OCGT,2985209.7687113094,34040039.210162744,31220548.6165781,14296982.491739938,12785853.86773489,6397852.032068351,2013481.0024587952,2985209.7687113094,24334336.571373276,20341215.50490473,8018135.350998661,4309023.500223003,4368232.783927506,3925633.2781839594
links,marginal,Sabatier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,battery charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,battery discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,biomass EOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central biomass CHP electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central biomass CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central biomass HOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central gas CHP electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central gas CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central gas boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central heat pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central resistive heater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
