scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,offwind,80942526.93692547,88340765.09746689,470746405.992575,645212133.9238124,772555786.2660664,955996436.1919954,1036937806.8367707,80942526.93692547,80309624.81351693,365388072.48390055,829972006.8211143,1333907938.00446,1309068325.0622787,1302701065.4185293
generators,onwind,371368179.6449079,750010852.0950155,897537194.243198,1144855695.5854926,1221144225.9159937,1182048937.4461832,1218508193.7829893,371368179.6449079,565371824.7551508,892269817.6448435,1325170925.2546346,1304386816.22818,1235567042.8670247,1235358434.38049
generators,ror,157830481.97670743,157825330.06759903,157586891.49432024,157376033.07185683,156890705.65460184,156762561.4966671,157645343.02213636,157830481.97670743,157832967.45864502,157689206.32665375,157721259.15828532,157776661.4217908,157734936.47426867,157769750.80237508
generators,solar,130693338.20439805,342775168.11107856,709794235.9649038,1144984365.5334647,1449888042.7093906,1669972031.5582402,2040798962.5116053,130693338.20439805,247886637.00987837,656186231.4130962,1267289773.4705927,1612355914.1657786,1730326870.8587961,1753569634.3658714
links,CCGT,-591563008.3918086,-535201024.86853004,-390220414.3011985,-138557480.73315424,-19470416.017308205,-9506238.955350483,-5603372.328426128,-591563008.3918086,-577974586.0654604,-385195965.40828526,-30144680.153846204,-7280313.781585231,-6041589.483913007,-5820131.813435368
links,H2 Electrolysis,-101326.14293407805,-87613.09389134115,-105182.58411622714,-110436.7247229186,-188038.95582484512,-38199615.16570769,-115571242.12682313,-101326.14293407805,-96316.60461498893,-88457.36388204043,-109424.05883865678,-113717862.07141353,-113987395.1578153,-113848378.3653821
links,H2 Fuel Cell,-82681.73315053622,-76580.22725528805,-81511.12120435365,-96832.495371526,-112576.99576783573,-87745.20685392656,-24760.327736312924,-82681.73315053622,-78171.61676515023,-78910.23716977966,-67164.0149002233,-21937.41917806221,-20654.310821610154,-20213.07892723423
links,OCGT,-894954.4308775525,-10965431.696246631,-10263172.24260098,-6574165.51576272,-4871048.6942194775,-2798087.285354238,-1601708.2257135431,-894954.4308775525,-6661843.227774712,-6270158.7616177555,-2331144.5464570243,-1077712.328115803,-1104849.9405873897,-1075435.5475768654
links,Sabatier,-83512.83019744333,-67321.00379448794,-90983.42484737144,-85358.82969004595,-195391.2814550794,-61037505.16806896,-184890521.52465302,-83512.83019744333,-79753.07209829286,-66459.75205946137,-111170.37277710113,-181927799.343294,-182360268.44089675,-182138270.50268334
links,battery charger,-89475.68762423088,-121439.20833512461,-2002220.1061967977,-15197873.832950503,-25159738.05317159,-29710059.065921627,-36558039.4094549,-89475.68762423088,-120785.24359841665,-811250.1957510837,-20217483.89403387,-26701509.698567197,-29330049.067442924,-29963334.99621042
links,battery discharger,-85002.60902044267,-115976.34380104419,-1922132.3717142446,-14589961.817937603,-24153354.34816219,-28521662.32917273,-35095718.21767987,-85002.60902044267,-115351.8919301512,-778800.4565098442,-19408784.73027131,-25633449.68668156,-28156847.461277936,-28764801.981909454
links,biomass EOP,-38765.6344412773,-31475.298244894613,-64361.337464493,-73131.41331995843,-156754.314112988,-193953.91185581483,-115617.57924971821,-38765.6344412773,-31318.542372735497,-34855.03035207216,-125530.2818526763,-104708.58329480933,-99454.6615692248,-51865.26968427915
links,central biomass CHP electric,-84568.74970864199,-79066.20391668448,-159008.62651837512,-303257.68515546626,-689675.6043624292,-5567081.7537369365,-5065737.456025544,-84568.74970864199,-69441.2943529161,-89469.06850190592,-268403.0733165863,-207198.56000005928,-201309.97087032342,-191556.9423055666
links,central biomass CHP heat,34069.038169404106,29814.07211860423,62802.76851058357,130571.62102523407,335576.5076928558,3608147.9182267264,3405009.056662793,34069.038169404106,24827.90278722819,36307.40412513139,127623.81164530269,112641.57375737638,108899.47706897702,104306.25417162428
links,central biomass HOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,central gas CHP electric,-109891076.37688464,-261096636.78798592,-302974679.6052847,-130253131.78997345,-74622771.26145671,-34448234.0028412,-21699738.962507147,-109891076.37688464,-368024171.6231449,-355515353.50291157,-66090956.7424792,-22934914.326807607,-23541023.568657685,-24110336.185905892
links,central gas CHP heat,84008818.41660926,175851481.80153805,182629177.7792205,99619990.85919069,55204148.35863325,22330563.633998618,12872830.974119851,84008818.41660926,193915422.3823926,195470596.1846837,49397332.23461792,13218700.64632476,13435775.0282954,13622280.114932004
links,central gas boiler,-2092.1860813607364,-1285.4060315342813,-819.6346267573435,-512.3050628522424,-276.08464603474476,-103.55844040103352,-6.583588433017127,-2092.1860813607364,-1509.4191018586225,-909.0382945653564,-39.47972936233964,-5.048027497212686,-6.292920384514417,-4.610472139876762
links,central heat pump,118560177.52093126,82955512.79332894,76788223.18490322,166478739.5679269,203122394.25784582,240676656.5672893,258402396.3162642,118560177.52093126,71995476.70883448,68835912.26678304,202467296.91869375,227695159.3626128,237263772.31108087,239600279.22674787
links,central resistive heater,-14833.970361004185,-55682.65187535134,-304356.63892423693,-956534.3231983036,-1595960.8103369125,-1746774.0177829438,-1651692.9789438127,-14833.970361004185,-16655.86642962164,-190493.18221859244,-1657765.4579810968,-2134513.3916635923,-1981104.531967484,-1936109.8791005118
links,central water tanks charger,-2524206.9053847734,-4792640.207910629,-6531534.316940678,-13527556.689685224,-21484648.082842562,-27559370.374305747,-27105811.863446616,-2524206.9053847734,-5231414.990312733,-6292698.630393859,-21561650.58946079,-28411037.745266806,-27893479.602452032,-27545402.703459542
links,central water tanks discharger,-2234932.3803039324,-4239518.162553063,-5728910.875716476,-11634103.603353316,-17716698.996280473,-21995914.813873883,-21144545.646392595,-2234932.3803039324,-4637063.4796872195,-5537714.358329188,-17854541.420349207,-22641372.117876112,-22199210.436654232,-21901898.215040077
links,coal,-917349436.4571872,-447371588.11477,-11400034.18625934,-5697305.919154272,-2924502.3714631367,-448520.0807765215,-2033.2506002095283,-917349436.4571872,-671728370.8628192,-57743624.2345183,-1488450.8871522746,-448529.4463989003,-738031.2587852225,-715134.0742280843
links,cooling pump,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204
links,decentral gas boiler,-50430442.68250722,-41907950.17709044,-29164419.259168684,-16732529.167804014,-8300454.568296038,-4286607.3379821405,-2124018.1318835746,-50430442.68250722,-42239267.99616893,-30733878.01010072,-9942995.226055652,-3013941.474164711,-2533334.885350742,-2016481.769521013
links,decentral heat pump,1006108618.5229431,997561305.325818,1098417688.4339378,1430981307.4858038,1686825859.4771981,1837007977.758626,1902903487.282051,1006108618.5229431,991296377.9039723,1054354455.641651,1663705291.6226418,1915014290.1765418,1915461985.1086779,1915403010.3354886
links,decentral resistive heater,-671739.0291766893,-1742229.4556008023,-9214363.959855506,-10672647.063007882,-12812200.348173112,-10776333.137277504,-12523212.042474711,-671739.0291766893,-1345385.4181981564,-7683396.233762659,-14094180.131804787,-11594579.664187972,-11355125.04732706,-11374799.652081126
links,lignite,-442088226.9744704,-329162468.4042103,-18418749.170612387,-1706949.137286373,-285267.5237216038,-22759.68178925854,-1714.4616953671186,-442088226.9744704,-334261557.2657171,-121022081.00848281,-9851.304636068411,-890.3379065149347,-1350.2893889374586,-1396.454553612263
links,nuclear,-1432624053.104219,-608543091.4106817,-176889464.1984174,-150121484.94843122,-94972304.64841747,-37208102.73311185,-383271.21406696126,-1432624053.104219,-612606695.2316028,-180181827.04417348,-125375937.81999698,-102275985.37204167,-40966774.87704632,-311930.1681910497
links,oil,-170384.5217175701,-299764.57398684276,-428091.7839475027,-312706.62306252716,-493057.6579388139,-22279.838441999276,-1718.5809336724583,-170384.5217175701,-238936.19492104396,-300427.34567281953,-8205.088284203353,-195082.55394841242,-159816.95448850392,-160380.10755497456
links,transmission lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,water tanks charger,-380420.72144733777,-522355.8261436428,-3483873.8217363306,-5288890.613666459,-6903220.085667939,-7497796.628939355,-1552705.2515714853,-380420.72144733777,-432017.3020732108,-3519492.4233521363,-2128883.641071283,-426593.21395833907,-778817.381309292,-578117.3995102792
links,water tanks discharger,-339703.30055649194,-467243.69527346233,-3132556.357873902,-4756945.642392204,-6209842.848728772,-6745128.922995632,-1395180.4484765076,-339703.30055649194,-385997.75513648265,-3164609.417111957,-1913768.2561653638,-382102.0618767735,-698980.3848433875,-518490.31371502497
loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
loads,electricity,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254
loads,heat,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013
loads,urban heat,-479991515.0050927,-479991515.0050927,-479991515.0050927,-479991515.0050927,-479991515.0050927,-479991515.0050927,-479991515.0050927,-479991515.0050927,-479991515.0050927,-479991515.0050927,-479991515.0050927,-479991515.0050927,-479991515.0050927,-479991515.0050927
storage_units,PHS,-3093772.154892434,-5214609.902575931,-22596887.129870817,-19464632.68834146,-16689247.926768461,-16919850.12365853,-15919488.83935811,-3093772.154892434,-3623773.9490274526,-20346772.279619955,-17112901.343818225,-15819080.756026339,-15736842.043897634,-15407130.760617893
storage_units,hydro,316115871.993572,316122845.60310787,316108848.6680483,316095411.0566122,316058900.64801514,316034691.0611289,316133426.55603254,316115871.993572,316119667.75961626,316119981.5044489,316139385.24920666,316141445.2778413,316138834.45084876,316140782.67952687
stores,H2 Store tank,-2.555528075395483e-10,1.1845027129281371e-10,6.727945692968154e-10,-2.0364320646448775e-10,1.107602183580969e-09,-8.888737760160553e-11,3.3451684803252613e-10,-2.555528075395483e-10,-3.809751455280397e-10,2.2572587036833423e-10,-1.452080156637281e-09,7.193204408853515e-10,1.5335055163646222e-09,1.5463821577410553e-09
stores,H2 Store underground,4.5240413997470197e-10,-2.8744562285965003e-11,1.846855557374738e-09,2.143765720497015e-09,6.056128931675175e-10,-1.1621980364751039e-06,-3.879570042997216e-07,4.5240413997470197e-10,-6.40500106077746e-10,1.3358738559787753e-09,1.3373376850367436e-09,-1.4982245014616424e-06,8.22735211902792e-07,2.326641789618389e-06
