scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
penetration,0.05183741364208867,0.11500227723784553,0.23305199739180393,0.3638658672948004,0.45466845512807935,0.5100477389158101,0.5768576867194887,0.05183741364208867,0.0808355110073016,0.20635927410065893,0.4419283246809606,0.5411336937724098,0.5518629508175695,0.5559613529276384
mix,0.6092254965300961,0.48895186445604766,0.5212947408029305,0.4703293811980625,0.4755695630098589,0.46261400748162834,0.40825044232525,0.6092254965300961,0.49313380406395646,0.5202118035305551,0.5298783987863039,0.5264497472781365,0.502118735938067,0.499792861365954
onwind capacity,185576.14005150698,332274.8441608199,393666.1488119319,472748.74497812556,489420.19278208417,468824.9645781734,487991.9417445613,185576.14005150698,249437.7344974018,378807.5434675168,535446.6385916413,506879.97444024216,470422.89904524304,470331.73483200977
onwind expansion,30037.40105150683,153253.80110931298,88591.73365111198,115511.76416619364,63712.007803958644,17625.906796089217,19259.327166387917,30037.40105150683,70416.69144589486,156570.23797011503,193068.26312412453,18473.895848600798,1764.0596050007896,1.185786766707378
offwind capacity,16912.76807338417,19935.689827316142,102174.41612136662,151895.76738619013,210263.64462399588,247041.7207225676,249098.7451380142,16912.76807338417,16897.305688774173,80168.53283260015,231252.48525566675,326126.2716559967,320879.8526989731,320880.05112512864
offwind expansion,18.84807338417073,3047.4717539319686,82737.32629405048,50430.20126482351,63527.47723780578,47280.39609857169,2057.0244154465804,18.84807338417073,9.087615389997733,63769.82714382598,151792.8024230666,100033.38640032987,5255.901042976506,0.19842615556023274
solar capacity,116688.9056349536,266999.32777626143,582014.7301168483,910551.9714881134,1145287.1483086108,1358977.5097236705,1709335.2618352612,116688.9056349536,194779.9170031374,534675.921970512,996591.9533377952,1279520.1126024565,1381595.8798664236,1394414.4084523406
solar expansion,254.90563495361275,150310.42214130788,315214.40234058665,330658.2413712654,262528.17682049714,279854.3614150599,370514.7521115901,254.90563495361275,78091.01136818377,340095.0049673747,464037.031367283,310721.1592646611,168239.76726396722,32975.52858591736
heat pump uti,0.4001715199604458,0.3909923591008931,0.4098221553068012,0.4632006279094747,0.47962084244432923,0.47448512616582894,0.46984302442316633,0.4001715199604458,0.38411580477748075,0.3968703624187509,0.4800318525132969,0.4628772071019689,0.46330247646110156,0.46376904574743794
heat pump capacity,140706.89727713546,138158.93344558627,138897.37949209355,165694.63204055143,196212.80325712077,219062.75695895997,230492.2807560398,140706.89727713546,138150.42524459364,136028.99908790493,192824.49707021855,233926.75811463877,234588.87219365189,234608.52085872096
heat pump energy,1615374042.837618,1550309123.0285594,1635842940.8715851,2204957079.8870845,2684927388.2681985,2948428611.732842,3060619400.1927123,1615374042.837618,1524316910.655454,1549706985.1639328,2642971564.5990286,3054858249.7580633,3066408685.8789806,3069703271.445036
heat pump expansion,22177.897277135507,27084.286168450777,30370.69604650727,56429.50254845789,60150.42121656935,22849.953701839167,11429.523797079846,22177.897277135507,27075.777967458143,27510.823843311344,86427.74798231361,70734.51104442017,662.1140790131503,19.64866506902323
resistive heater uti,0.005883176051328989,0.012763772617604504,0.05528215614403784,0.08447202083634311,0.09742480280245314,0.08777491380567523,0.09696888535968647,0.005883176051328989,0.00861732287897518,0.04577490956937558,0.10330918460533418,0.10285632713319709,0.09861279838962826,0.0970325199463415
resistive heater capacity,287095.41419366514,271710.237885143,289091.62930491555,328626.54729610117,375471.8496950623,391613.71356527606,393302.1929483626,287095.41419366514,268371.50361412024,271748.89419990184,391334.465991984,413309.4087976248,413811.8754501093,413812.3086990088
resistive heater energy,13404117.607664363,27812927.125246312,128344707.14781158,227383037.9420752,301741183.9754471,284915241.31168437,314170757.42854977,13404117.607664363,18352721.52137591,99592654.47597858,332735503.7534328,353846548.6788007,339284795.23875356,333726707.1074265
resistive heater expansion,59365.4141936652,41547.3236914779,74313.89141977241,96467.41799118569,103777.8023989611,16141.863870213703,1688.4793830865892,59365.4141936652,38208.58942045499,60309.890585781606,176518.0717920822,78907.44280564085,502.4666524844547,0.43324889945062006
gas boiler uti,0.19003155183143428,0.23093253933856223,0.26306951215784374,0.23461743306936628,0.17465546415721825,0.11453241916801135,0.07514235868688808,0.19003155183143428,0.23202649430205538,0.2710195229427251,0.15360423023516395,0.08819675703915644,0.0879434072600231,0.08625479688316404
gas boiler capacity,1113611.355749588,867360.8904305733,682850.1847439188,509155.5121721983,385325.5061826773,385343.40790617105,385347.2465552047,1113611.355749588,870234.4281959307,702029.6041463155,455663.2400786271,283813.30166449904,286553.9978232394,292335.19174856937
gas boiler energy,1803583588.4764206,1712919567.5916803,1543802855.2641318,1028502534.6607629,580723800.8587471,381784275.54199266,251117204.4880362,1803583588.4764206,1726714244.682788,1634968383.9834385,602444831.7857683,215986074.1239901,217997249.2013038,218677304.09195888
gas boiler expansion,45851.355749588016,20689.534680985387,82429.29431334547,93245.3274282794,143109.99401047901,17.901723493756286,3.8386490336319143,45851.355749588016,23563.07244634257,98735.17595038477,20573.635932311707,95090.06158587194,2740.6961587404116,5781.193925329965
gas CHP electric uti,0.5791665447904514,0.5544448334958767,0.46137812947940393,0.18424614496335717,0.09411129930301601,0.043637563966053915,0.028493873159544995,0.5791665447904514,0.6205475317329264,0.4866083195696459,0.07513388102421772,0.029611479005787172,0.030429181239206172,0.030966724042820644
gas CHP electric capacity,44357.247549752,107354.1960918962,144133.5140803541,144151.1720315954,144165.7400689666,144172.7521734393,144174.325213078,44357.247549752,132383.7978262133,154277.7538417405,154286.3962820089,154286.9591530553,154287.87224954998,154288.4880331456
gas CHP electric energy,105321737.70438275,244021068.41334486,272628929.58255804,108884621.75368558,55622921.32273625,25792512.318772513,16841833.64830678,105321737.70438275,336790511.687723,307774614.7216923,47524047.05838456,18730064.739675935,19247397.52038062,19587488.131926257
gas CHP electric expansion,24428.719223290616,62996.9485421442,36779.3179884579,17.657951241306357,14.56803737119472,7.012104472704969,1.5730396386975727,24428.719223290616,88026.5502764613,21893.956015527205,8.642440268398161,0.5628710464047018,0.9130964946918994,0.6157835956049666
nuclear uti,0.8998549075141076,0.8912563186463637,0.8413327831356413,0.7910515073376405,0.6307154827483494,0.6492374134890304,0.665883829148539,0.8998549075141076,0.8970989916196386,0.858473375699735,0.657215497776573,0.6810535380475077,0.6995382126142645,0.6656810553722536
nuclear capacity,271263.50500475685,116386.6071054552,35989.85530390589,32306.887208637258,25536.5257009217,9932.100784149228,120.40168374122001,271263.50500475685,116397.70774285332,35997.31178859304,32328.247762633422,25546.5710557455,9940.532801813302,128.421356692113
nuclear energy,705637909.2781098,299863548.31609654,87531819.97453149,73878475.30018224,46560040.39635689,18640720.84738167,231765.65268136057,705637909.2781098,301858105.655123,89333622.77442238,61419744.83803506,50295822.58729978,20101994.59153321,247127.73982876554
nuclear expansion,58.78726819525109,34.72892816906296,11.490622693090927,1.8803895798526256,11.456674102623595,1.6356892881343839,0.422111713202153,58.78726819525109,45.8295655671634,7.846469982141032,15.78445888886415,0.14147493026182684,0.022352128407156335,0.009767000022078476
coal uti,0.9699681629879735,0.6609020258604916,0.019018157282910852,0.014057406939459819,0.008877956839155111,0.00331817770380112,1.51200759926008e-05,0.9699681629879735,0.9673160453095445,0.07614956128486824,0.0057321820111616165,0.004130084302288485,0.004757734172013229,0.004799846664473547
coal capacity,160689.70280724237,117709.4169907737,99142.02887843575,75373.778896909,59530.488690896374,43010.58008173948,25383.36876556848,160689.70280724237,117718.52240054947,99150.5686724059,75386.01855763691,59531.552795392934,43006.493385573674,25379.165585217306
coal energy,450571350.10301423,224888028.83317438,5450599.637788496,3062975.70838511,1527814.1329088625,412565.5746985989,1109.484601707366,450571350.10301423,329178331.746687,21826327.180880815,1249190.937769512,710761.9548526586,591496.599415685,352145.99136566115
coal expansion,47.73178066604162,27.98691080400928,8.369463419652059,3.2571986208669816,11.255248532852804,5.440223635447423,0.23703079868488375,47.73178066604162,37.09232057976614,7.803847614074664,6.9570653786169006,0.07969230147196821,0.2894229730913158,0.12054661333291464
lignite uti,0.9992417343475078,0.9833977019643945,0.056071533582713294,0.008434119931177684,0.006599618241223493,0.00022744437063177943,3.697111302468051e-05,0.9992417343475078,0.9987371813175778,0.4318746002372024,0.002024486987975755,1.1724231342088501e-05,0.003694740032781374,0.003670749781179116
lignite capacity,75381.66655023905,56981.938903436836,46041.23058293355,39671.04884916392,9910.314648546286,9035.19190762285,8780.917996759012,75381.66655023905,57108.29160121723,46166.189764484836,39795.5203340784,10031.78307875825,9156.03325173414,8901.506144734187
lignite energy,217748085.4763929,161988602.18474007,7462896.237636402,967233.8814585661,189070.73116070847,5940.604224663115,938.4702131162113,217748085.4763929,164880172.33013034,57636784.128443256,232898.7852581079,340.0012847087116,97793.3432344235,94457.47316960501
lignite expansion,117.0777616757315,10.787369084212212,12.321982527013645,1.9394783515618679,3.036541756256948,0.6348348341364938,0.27154368161393294,117.0777616757315,137.14006686460482,10.928466297909601,1.4517817147708003,0.033487053719209126,0.0077487334680857445,0.018347545498205053
OCGT uti,0.018287022511087863,0.06607173520396652,0.06561021861677563,0.03290185281884679,0.02961287841476997,0.014649457851943118,0.004558921242011886,0.018287022511087863,0.06627462001809571,0.04691170322089551,0.02046302446568157,0.011129135363870302,0.01115524985592002,0.009913494924423649
OCGT capacity,9859.750930849641,30751.675915775602,28072.686127033503,25340.67349105224,24893.147735005,24896.3687631739,24897.532790719397,9859.750930849641,21916.2736335703,25580.593964842905,22850.603929726112,22322.772921181917,22322.860277305823,22323.06399482027
OCGT energy,663379.9486025115,7564453.1578139225,6937899.692572899,3177107.2203866346,2841300.8594966456,1421744.8960151845,447440.22276862134,663379.9486025115,5407630.349194059,4520270.112201082,1781807.855777488,957560.7778273413,970718.3964283379,872362.9507075496
OCGT expansion,327.56726508263336,24367.520555454867,89.93878268646931,27.55164973302731,80.5694820479976,3.2210281688992115,1.1640275455006677,327.56726508263336,15532.11827324957,6433.248902701169,29.57425059749858,0.2642295510365451,0.0873561239110372,0.20371751444037844
CCGT uti,0.6708558696357199,0.7621214718013637,0.6362195893248315,0.3997413738368474,0.085458652954738,0.05093840935010426,0.027410192509926483,0.6708558696357199,0.835862311577842,0.6727796747413104,0.08121775130279177,0.04158875851996024,0.04039325244671104,0.03871852827246958
CCGT capacity,245122.8899379429,195333.40354524605,173105.07289881198,89366.52611542215,60166.28258801916,53269.181899779294,53269.934860995585,245122.8899379429,199949.6131850215,169086.13507917974,85359.31531349818,56116.39990672222,49215.2802266082,49215.509233311765
CCGT energy,849902702.0919803,782449056.9458437,588505835.2193459,192456772.71794137,27925761.060891513,14856124.478624806,8058216.048808422,849902702.0919803,878437097.9238737,607875725.6700671,37349182.954849035,12675396.50137062,10884109.680398835,10516360.850527856
CCGT expansion,63.652127216220244,52.30875563326876,53097.057202693664,9.205584628518665,42.736883949141856,4.221345658452179,0.7529612162819044,63.652127216220244,4668.518395408685,44461.90974328602,20.932602336744104,0.06500457621034533,0.20235378429570636,0.22900670356630173
