scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
battery,39.70267711291683,45.99684872717673,54.52257834356852,55.57008812848542,53.993168444933154,51.668844424027746,47.3340252726484,39.70267711291683,43.28256078867374,51.720910683856054,59.022116521418155,54.72957988048195,50.638788422719614,45.06212525975683
solid biomass,23.05210216330873,23.37514076618864,24.056056070241723,24.705459301039607,24.98433428919772,25.06539058406516,25.17234499561893,23.05210216330873,23.096083528674576,23.07473415712221,25.165970020264623,25.1862596228733,25.18080012449437,25.174457833659698
cooling,20.823417317778603,19.777104583146418,23.281384275683568,24.253099520438354,24.121067344282114,23.264156665127327,21.60843910752938,20.823417317778603,18.419202804841383,22.304051751007265,25.790503353202766,24.67709044189496,22.865035549386025,20.171146625713895
urban heat,12.53217466991416,12.657181794320374,15.073407756520515,17.66841893826522,17.13094417678757,16.31993528274301,15.279446952356977,12.53217466991416,10.501961780372122,14.000497717484894,16.569959640340873,15.936888216270699,15.40349682649904,13.720515908225407
heat,17.586326758321402,20.125790572867245,24.782481774779495,27.797037986479406,29.302285749352418,29.19971868750907,27.549742584863626,17.586326758321402,18.22601901852001,23.21895812699504,30.747525680173837,30.97000564448535,28.87935391984701,25.277892935641376
gas,20.100086256899427,22.926110694397565,30.31502642829569,41.19766941609988,60.309834844898475,84.44685314910019,95.41686249171515,20.100086256899427,20.100082956497648,27.53123502680487,61.79631874010709,101.68918640501353,96.32480736159008,82.57613140069226
nuclear,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763
lignite,2.9001746413803504,8.621928778239377,23.58201143200154,45.615723069000516,84.31146474551069,133.18085260301413,155.3914518829852,2.9001746413803504,2.9001679590994853,17.94576506559996,87.32109738141054,168.09080961797272,157.22973652300394,129.3932668480288
H2,41.67266079933477,45.85420004294716,51.98795232412062,50.06631974192336,48.054887686380994,49.84219685486534,49.33851612339417,41.67266079933477,43.39141485366951,50.52111864980508,46.63203976892914,54.61849873821568,51.119103540042495,46.605667791452404
electricity,39.56850437019791,46.3824931786794,54.98412844928415,55.88141445901166,54.21013727337365,51.93528363273124,47.70354084017167,39.56850437019791,43.705281042113164,52.29386507131953,59.21349955466261,55.01349558394755,50.96574781674956,45.40967995038359
water tanks,17.59413869302073,20.122354017265067,24.7641716834327,27.798793707831425,29.25897778174416,29.092677428875483,27.109083540764868,17.59413869302073,18.208019437989996,23.219940427759056,30.342048229891663,30.36234460298027,28.34898334114346,24.853877680686967
coal,8.150144262121353,12.876586229398303,25.234328417803905,43.43522570999774,75.39975495058997,115.7682014380098,134.1152163649998,8.150144262121353,8.15013874223095,20.578519949496354,77.88585513179119,144.60549188498862,135.63372720299276,112.6394748550128
oil,50.00011436651115,53.7470885700928,63.54391703340708,77.97301467360104,103.31348586199069,135.31631773300805,149.8612528280177,50.00011436651115,50.00010999049301,59.85293884120985,105.28438771798587,158.1776125829907,151.06508035399145,132.83596192300317
central water tanks,12.70926191872828,12.77279080014832,15.229746481734116,17.640773826134527,16.99476048052734,15.975236416680719,14.964777265536272,12.70926191872828,10.63137377935982,14.18100287617771,16.33222054614429,15.539485405867108,15.040029822431269,13.40416224407895
