scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196
cooling,loads,cooling,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904
electricity,generators,offwind,16905.721881805803,19925.72534818766,102165.59050504192,151891.74479937414,210247.15363960358,247014.4467941231,249073.2287588594,16905.721881805803,16889.09479458403,80159.39704070747,231243.80665784783,326078.813528731,320832.3887247442,320832.50907404214
electricity,generators,onwind,171938.18045729448,313217.2556797179,365372.50176469784,452873.86614642973,472995.6214414043,454955.6580254611,473627.6207214813,171938.18045729448,234225.39457938995,352637.97845916956,514042.8052408942,490325.0020713084,456455.3086293224,456376.3195685537
electricity,generators,ror,49531.9142029585,49531.670115373505,49530.97278589191,49533.36683753639,49528.960916487806,49531.92133163291,49533.7369037061,49531.9142029585,49532.017675786505,49531.42858587899,49532.04665930111,49535.078424716594,49534.993414624194,49534.869919570105
electricity,generators,solar,87088.0708998954,200152.9265845271,418392.5681195285,632947.8233407232,795211.7704133532,947001.0215594847,1193635.6388292997,87088.0708998954,147447.3068426222,385756.3592684703,690772.2899727453,890469.4235360917,963096.8562221844,975006.5845617959
electricity,links,CCGT,144600.12186527348,117194.97731424663,105588.73138543295,54958.73907152068,37298.98734452586,32955.56868902788,32000.638649425975,144600.12186527348,119964.22960795734,103139.11161743753,52480.788707102365,34742.81634622726,30759.425526480187,31005.62415414284
electricity,links,H2 Electrolysis,-73.67898578044,-110.39969730031004,-151.38763175629998,-164.40276460823003,-300.8681098931,-52065.33038997263,-126852.75319355016,-73.67898578044,-110.39307600614002,-148.24057770564002,-305.3236210748699,-120164.02661434896,-120200.3248883549,-120200.22377405316
electricity,links,H2 Fuel Cell,21.726371443638758,40.86925028712259,41.151757258788,45.1379983774068,52.54332221447899,58.68758695214641,60.724893573237004,21.726371443638758,39.027491530056835,41.641378889055986,53.19970220643879,62.89855980266181,62.8635162192498,62.81883128726539
electricity,links,OCGT,2497.102272659308,13062.279550365067,12062.281508607799,11020.60607368704,10935.34717810581,11060.117852120811,11166.833561719799,2497.102272659308,9306.225015610617,10994.904812690322,9887.247578123028,9803.605125362481,9915.068362315566,10026.575260225065
electricity,links,battery charger,-342.12693644969,-1659.9677840985999,-39544.171836925285,-201318.45589282844,-316962.82526154496,-386858.98768608866,-508853.16260216874,-342.12693644969,-2216.8447031064,-19600.2064118032,-255932.8463585816,-343945.76789860224,-384961.75612611824,-396976.17541506625
electricity,links,battery discharger,406.30857882966353,1811.4184014466105,39561.18208430535,160545.10676222667,247831.77149285344,298068.87185709464,380740.3154090339,406.30857882966353,2369.69272468089,19621.854044609954,200169.96303708918,272213.4441205707,295686.38669729437,303063.7372674866
electricity,links,biomass EOP,8.990977769429213,17.191861205873494,17.50402995743458,19.538690398773184,26.017711097847926,27.965991405909058,28.709475840928942,8.990977769429213,16.08561358034557,16.575422172702265,16.819164756513366,21.85582293641196,21.867141648958167,21.859713552365225
electricity,links,central biomass CHP electric,25.379081340121083,53.94916178332667,59.210558395391516,66.47872566758905,179.48517599498618,405.7988942009434,410.03011858658147,25.379081340121083,48.67749275436218,48.098654244585354,224.44625637834662,239.25797451395425,239.39551425340983,239.4872171966149
electricity,links,central gas CHP electric,19273.297674472313,50083.882427213626,66982.62865463311,65073.616197636635,66635.56589191167,65437.869319867095,63693.59193092157,19273.297674472313,61910.875615649114,71673.12893954753,65124.24345084937,70829.26334413474,71380.63149171993,71380.95117323555
electricity,links,central heat pump,-11036.344719942277,-8475.060641811058,-6475.9437055303115,-13964.140582478529,-18824.04195466457,-22908.11593910191,-24506.38420984865,-11036.344719942277,-8169.065820223609,-6084.764659495368,-18654.203760307308,-21456.945821026336,-22098.28071931258,-22117.522150258457
electricity,links,central resistive heater,-5927.596274769697,-13940.26525850094,-22522.8430982114,-72849.06737119821,-120838.65146453581,-136366.45107153547,-137741.2529107686,-5927.596274769697,-4764.926969512139,-18167.051488218403,-123201.3863193517,-149668.6532622247,-150168.8892065547,-150166.82760814938
electricity,links,coal,53015.85079707528,38839.97068733156,32709.67579684192,24535.538733619218,19178.78623470909,12693.203422831619,0.284162174698512,53015.85079707528,38844.392718246956,32716.08477296475,24189.348324502847,19177.422007193054,14054.457286805644,8369.49385293206
electricity,links,cooling pump,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996,-59818.651967993996
electricity,links,decentral heat pump,-101632.22557045525,-101639.04060909101,-104375.7048994929,-123685.1245413236,-149355.94551481697,-168126.330766133,-177960.398951912,-101632.22557045525,-101619.18080301324,-101907.19252790713,-146137.46997919297,-184450.56126764303,-184471.22445551,-184471.30352798005
electricity,links,decentral resistive heater,-81319.22708973457,-124826.638691519,-217541.01778737965,-247625.33219286666,-253429.2303736417,-252395.7719424947,-254208.10374523918,-81319.22708973457,-119050.23234033996,-199416.68042375302,-261522.90017752646,-262525.0419020859,-262525.1487046223,-262524.9126223534
electricity,links,lignite,24868.852711592113,18800.923949675398,15187.63523140382,12294.562618634673,2287.8275989452977,3.2968446046292796,0.20175740574435602,24868.852711592113,18842.748476131233,15231.722149962734,11757.093649349905,0.31645457166484264,2319.759302268845,2235.8596785876025
electricity,links,nuclear,80559.50521170454,34564.9544188528,10686.835085423752,9594.198784786167,7582.647109349761,2949.2015604709118,35.5827476466099,80559.50521170454,34568.186445126965,10689.526141518276,9598.2573559238,7587.297821891329,2952.31044623139,38.11053854625535
electricity,links,oil,988.2950886872691,9691.427586944057,9084.218912576756,9051.528620310224,7954.873155310456,28.75594462134168,0.294171265827441,988.2950886872691,5640.4282614065205,6157.386828811694,3213.3505453113025,3912.9145780372096,3278.9877406916285,3279.2072726336414
electricity,links,transmission lines,108160.05481400875,119293.00978465399,126654.84767430398,212590.36363407597,263480.873030427,294896.7685595229,299832.494966415,108160.05481400875,115988.52888206604,126651.50525157804,272126.87229103094,343788.6037198941,346061.155898908,346952.10195535206
electricity,loads,electricity,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994,-484962.96298599994
electricity,storage_units,PHS,44294.55564805243,47452.66386908912,47451.65638173828,42844.958108543964,40736.463293788074,41099.247969935845,40467.34139699652,44294.55564805243,47451.66464526874,47455.66012968964,43193.73081118939,42002.10410132939,41899.4708963032,42259.14329279188
electricity,storage_units,hydro,118256.68239262668,118263.319469711,118263.8786182285,118267.1513557626,118264.91427960858,118267.33809001648,118267.8974045893,118256.68239262668,118262.9889897253,118266.55237346697,118263.7471148744,118268.0044842582,118268.00618660198,118267.99612966299
heat,links,decentral gas boiler,647961.1454260242,664158.3338359991,611035.7081464485,467573.6109842282,370419.804136054,371372.44047064346,371984.66325104755,647961.1454260242,697330.9491157191,630130.6072257151,411625.9191475938,268914.5316623811,272303.2075273021,278715.73377457005
heat,links,decentral heat pump,333176.1405312796,333181.4771513401,344696.48452798056,418539.1265459503,505259.7924253443,560218.5498416281,584906.5751116915,333176.1405312796,333164.6239339152,334348.61199259595,494916.8698652277,601975.04861327,602036.985252656,602036.8563441787
heat,links,decentral resistive heater,73187.30438076114,112343.97482236715,195786.91600864165,222862.79897358,228086.30733627753,227156.1947482453,228787.29337071523,73187.30438076114,107145.20910630595,179475.0123813777,235370.61015977387,236272.5377118773,236272.63383416005,236272.42136011797
heat,links,water tanks charger,-1004.2489089827998,-29166.507395116598,-123977.2503914806,-90397.14478538699,-180208.70987852899,-106210.8360369173,-38875.748887542,-1004.2489089827998,-15317.0406902128,-141572.0138818317,-243865.21369096296,-8922.8301462233,-9464.855191199002,-8485.7864193076
heat,links,water tanks discharger,835.5877222828951,23649.936017636704,100400.34048934726,73194.3308827683,145936.7251934274,85982.28323877646,31380.78859291782,835.5877222828951,12461.534781389013,114628.78622237823,197522.96787578883,7068.67588099287,7396.978352258522,6604.04694171132
heat,loads,heat,-971411.1811225798,-971411.1811225798,-971411.1811225798,-971411.1811225798,-971411.1811225798,-971411.1811225798,-971411.1811225798,-971411.1811225798,-971411.1811225798,-971411.1811225798,-971411.1811225798,-971411.1811225798,-971411.1811225798,-971411.1811225798
urban heat,links,central biomass CHP heat,17.515023139155982,25.83531089646,32.0657903707908,52.05152022334992,158.50258623267433,395.0402154659813,395.0866361138773,17.515023139155982,22.269953163678487,26.81560181970072,213.12539714158675,225.45775537367376,225.45667220463662,225.4456278754596
urban heat,links,central biomass HOP,21.720797292181004,25.830698921568,27.660687310417003,40.802192263044,90.34862857085301,100.84944199198198,102.55983449922448,21.720797292181004,22.226654015515,29.129520757707994,63.159785140793005,76.6008055296243,76.60124700175322,76.5127876823663
urban heat,links,central gas CHP heat,20690.125244171202,50113.31599357233,67248.52998978137,67260.90812373019,67266.10196751324,67271.88913048338,67273.92650012569,20690.125244171202,60713.59005247432,70895.22609698767,70902.31314707156,70913.99959890082,70914.3718388858,70914.5414862725
urban heat,links,central gas boiler,86583.09865859398,73390.41095482433,55145.17633636121,32194.93705363682,7750.885615171412,17.014649130974238,1.6544691045856466,86583.09865859398,72258.55149970099,56898.10235327341,16565.859148127376,0.594107639856544,0.6292902874293751,0.9672662926267173
urban heat,links,central heat pump,41595.49153612245,34754.702366487116,27906.624241609938,65109.46115056885,88987.16190309454,110804.65491833808,118469.7065172315,41595.49153612245,31817.400199740685,25934.913516874643,87651.60819803883,102956.16624495845,106788.0624537262,106864.48148720954
urban heat,links,central resistive heater,5867.973508458842,13796.829989514285,22291.771147558542,72113.87913378578,119622.67146468026,134995.74310811577,136356.21950644348,5867.973508458842,4714.946581343443,17979.255317754,121961.58185966178,148164.15003507046,148659.6108344262,148657.7779196715
urban heat,links,central water tanks charger,-53535.619669123815,-70012.34731741951,-85597.40896930647,-133373.25423145838,-191183.99189589592,-219560.28068531016,-232894.70648338395,-53535.619669123815,-76781.5075591313,-83639.23703480641,-193799.73035110522,-228898.06822144144,-230292.68494708385,-230226.98980354314
urban heat,links,central water tanks discharger,68925.91900331393,81589.83909200935,91335.05016869197,109495.647052455,120059.6457397346,122006.13538946514,123468.70960600484,68925.91900331393,87803.36779181723,89124.66245874568,115778.62272486824,124243.0957404496,124115.635858142,123992.06720145488
