scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816
cooling,loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
electricity,generators,offwind,80942526.93692547,88340765.09746689,470746405.992575,645212133.9238124,772555786.2660664,955996436.1919954,1036937806.8367707,80942526.93692547,80309624.81351693,365388072.48390055,829972006.8211143,1333907938.00446,1309068325.0622787,1302701065.4185293
electricity,generators,onwind,371368179.6449079,750010852.0950155,897537194.243198,1144855695.5854926,1221144225.9159937,1182048937.4461832,1218508193.7829893,371368179.6449079,565371824.7551508,892269817.6448435,1325170925.2546346,1304386816.22818,1235567042.8670247,1235358434.38049
electricity,generators,ror,157830481.97670743,157825330.06759903,157586891.49432024,157376033.07185683,156890705.65460184,156762561.4966671,157645343.02213636,157830481.97670743,157832967.45864502,157689206.32665375,157721259.15828532,157776661.4217908,157734936.47426867,157769750.80237508
electricity,generators,solar,130693338.20439805,342775168.11107856,709794235.9649038,1144984365.5334647,1449888042.7093906,1669972031.5582402,2040798962.5116053,130693338.20439805,247886637.00987837,656186231.4130962,1267289773.4705927,1612355914.1657786,1730326870.8587961,1753569634.3658714
electricity,links,CCGT,851273597.44187,802801537.3027973,610344750.5736698,221332079.61270097,31767520.870344937,15843731.592250688,9540877.207860744,851273597.44187,866961879.0981929,602485997.1770619,48153190.37562464,11878406.69627076,10069315.806521634,9909954.168822324
electricity,links,H2 Electrolysis,-506630.7146703898,-438065.4694567042,-525912.9205811354,-552183.623614595,-940194.7791242229,-190998075.82853535,-577856210.6341124,-506630.7146703898,-481583.0230749435,-442286.819410201,-547120.2941932871,-568589310.3570635,-569936975.7890768,-569241891.8269095
electricity,links,H2 Fuel Cell,114179.53625550221,105753.64716206436,112562.9769012507,133721.06503686926,155463.470346059,121171.95232208923,34192.83354062263,114179.53625550221,107951.28029473122,108971.27990112436,92750.30629078473,30294.531245895476,28522.619706033027,27913.299470942642
electricity,links,OCGT,648070.4499458139,8104884.297225801,7742393.095295459,5061525.662578406,3827252.545458192,2243511.426995724,1310488.5483110836,648070.4499458139,4923971.081398731,4730119.767536233,1794775.0047943436,846773.9720909911,885870.6730835827,879901.8116538058
electricity,links,battery charger,-1789513.7524846082,-2699434.244487765,-50055502.65492099,-379946845.8237704,-628993451.3293384,-742751476.6480632,-913950985.2363688,-1789513.7524846082,-2684897.466546405,-20281254.89377663,-505437097.35085636,-667537742.4642057,-733251226.6860809,-749083374.9052575
electricity,links,battery discharger,1615049.5713884106,2462025.590657281,46131176.92113925,350159083.63049775,579680504.3558822,684519895.9000895,842297237.2243481,1615049.5713884106,2448769.296865957,18691210.95623726,465810833.52653867,615202792.4803536,675764339.0706645,690355247.5658252
electricity,links,biomass EOP,17335.138990383075,14075.061009656203,28780.974350981647,32702.759357260784,70097.08113012044,86731.92295723136,51701.63818836884,17335.138990383075,14004.963231802132,15586.402863661773,56134.38074164541,46823.37516367014,44473.936939060026,23193.007716993143
electricity,links,central biomass CHP electric,74395.06553316592,69554.48013723371,139879.76919285607,266775.5576179672,606707.1106045424,4897357.632986628,4456325.4312405195,74395.06553316592,61087.45443076079,78705.87229115046,236113.98178977895,182272.41744366143,177092.23001374342,168512.498118431
electricity,links,central gas CHP electric,96671097.26387589,229686515.0691289,266526597.84825948,114583582.10095403,65645595.77135634,30304085.551371388,19089244.04972441,96671097.26387589,323750587.0669791,312746589.1717337,58140164.95391037,20175826.888996214,20709020.733330492,21209844.614668965
electricity,links,central heat pump,-54181397.26810382,-39072622.691590935,-36286407.93813019,-75721204.97134864,-91487658.80127847,-106766388.53748006,-115341557.9201753,-54181397.26810382,-34195017.3174825,-32714213.681736577,-91405763.34003665,-101982445.37767266,-106148378.67794944,-107161032.19138213
electricity,links,central resistive heater,-1179811.9068249273,-5302730.680046106,-29826744.809662685,-94627894.74162275,-157550040.1328373,-173358415.112941,-164433212.66809633,-1179811.9068249273,-1418270.4588504394,-18434127.972506426,-165163341.20003226,-213040677.2148194,-197638426.43224564,-193185074.44607386
electricity,links,coal,451828826.9117489,220347200.1162295,5614942.21114266,2806135.7512252354,1440426.5411683996,220912.87560634804,1001.451788162901,451828826.9117489,330851287.1413884,28440889.548344843,733117.6011346991,220917.48852483265,363507.9334315276,352230.2156645807
electricity,links,cooling pump,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092
electricity,links,decentral heat pump,-440298586.50522596,-435656556.99924225,-478534539.71948946,-625927702.0843222,-748252631.0048158,-823942094.7142925,-859370315.7789582,-440298586.50522596,-432399754.3077507,-459538091.35704565,-737573294.746762,-865836064.9911935,-865995769.3014665,-865996939.9030454
electricity,links,decentral resistive heater,-6717390.291766989,-17422294.556007802,-92143639.59855512,-106726470.63007875,-128122003.48173164,-107763331.37277591,-125232120.42474835,-6717390.291766989,-13453854.181981456,-76833962.33762428,-140941801.31804743,-115945796.64187846,-113551250.47326979,-113747996.52080971
electricity,links,lignite,217744947.61429173,162124797.87072995,9071921.233286671,840736.1422455204,140504.8997434758,11209.992523067627,844.4363574196268,217744947.61429173,164636289.39953277,59607890.64596914,4852.135119257591,438.5246405222815,665.0679079841223,687.8059741672345
electricity,links,nuclear,705620802.2752119,299730179.3515302,87124661.47086206,73940432.88504808,46777403.78205635,18326378.958099827,188775.37409268247,705620802.2752119,301731655.8603419,88746273.02175705,61752327.582983516,50374739.06384127,20177665.23794822,153637.24701947207
electricity,links,oil,100067.10005635032,176052.2101192567,251418.98422313613,183653.09608434123,289573.5451386703,13084.984481809113,1009.3253102520772,100067.10005635032,140327.60654093075,176441.45698245207,4818.861373262302,114572.29358875121,93860.75104880372,94191.49173863654
electricity,links,transmission lines,-125166918.02926846,-129674992.43597732,-15305909.455043571,-187254993.39451063,-164716158.83786017,-90688138.0238055,-55723804.82926355,-125166918.02926846,-152293975.3917301,-23180164.54277069,-255814611.87703082,-189432397.9818436,-153700970.6484141,-131067980.1898549
electricity,loads,electricity,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254
electricity,storage_units,PHS,-3093772.154892434,-5214609.90257593,-22596887.129870817,-19464632.68834146,-16689247.926768461,-16919850.12365853,-15919488.839358108,-3093772.154892434,-3623773.9490274526,-20346772.27961996,-17112901.343818225,-15819080.756026337,-15736842.043897634,-15407130.760617895
electricity,storage_units,hydro,316115871.993572,316122845.6031079,316108848.6680483,316095411.0566123,316058900.64801514,316034691.0611289,316133426.5560326,316115871.993572,316119667.75961626,316119981.5044489,316139385.2492067,316141445.2778413,316138834.45084876,316140782.67952687
heat,links,decentral gas boiler,1630584313.4010348,1634410056.9065068,1429056543.6992486,939411994.7067126,545063183.318063,338641979.70053965,210277795.05651978,1630584313.4010348,1647331451.850661,1505960022.4949226,558228160.548677,197915490.13681382,200133455.94273046,199631695.1825611
heat,links,decentral heat pump,1446407205.0281694,1433217862.3250601,1576952228.1534274,2056909009.5701263,2435078490.4820137,2660950072.4729185,2762273803.061009,1446407205.0281694,1423696132.2117229,1513892546.9986966,2401278586.369404,2780850355.167735,2781457754.410145,2781399950.2385335
heat,links,decentral resistive heater,6045651.262590299,15680065.100406995,82929275.63869955,96053823.56707089,115309803.13355853,96986998.23549838,112708908.38227364,6045651.262590299,12108468.763783302,69150566.10386164,126847621.18624264,104351216.97769052,102196125.42594276,102373196.8687286
heat,links,water tanks charger,-3804207.214473397,-5223558.261436432,-34838738.217363395,-52888906.13666449,-69032200.85668033,-74977966.28939486,-15527052.515714737,-3804207.214473397,-4320173.020732089,-35194924.233521245,-21288836.410713065,-4265932.139583373,-7788173.813092963,-5781173.995102747
heat,links,water tanks discharger,3057329.7050084285,4205193.257461011,28193007.22086517,42812510.78153111,55888585.638557866,60706160.30696036,12556624.036288563,3057329.7050084285,3473979.7962283427,28481484.75400777,17223914.305488545,3438918.5568908956,6290823.463590359,4666412.823435222
heat,loads,heat,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013,-3082288817.6537013
urban heat,links,central biomass CHP heat,50139.33919270795,43877.31368398355,92426.71592123623,192162.00830128792,493867.3132083539,5310104.48342802,5011145.404145232,50139.33919270795,36539.177686864125,53433.53814641978,187823.7227987473,165774.39156745956,160267.15493170207,153507.3174601263
urban heat,links,central biomass HOP,47621.03554870435,40498.11978230937,78418.79791654299,111278.02924068511,307686.7920749296,354285.99409003445,264294.3589765109,47621.03554870435,35911.12409652129,43334.522394615065,156692.1983063735,125561.16748282668,128395.86828010433,115332.69091208617
urban heat,links,central gas CHP heat,123635619.55651942,258800293.9720748,268775016.3543245,146610552.58522382,81243840.98063003,32863848.36701684,18944921.05625188,123635619.55651942,285384961.2420118,287673707.59255344,72697960.64717363,19453936.800251536,19773404.758623384,20047883.942730088
urban heat,links,central gas boiler,187481734.96064818,103603745.01562035,82209640.68225358,27790951.763194174,2810051.125365818,69886.24603598201,4995.51994733872,187481734.96064818,97524320.65559167,85516307.36836381,4497087.700773113,2562.854882510362,3829.982670117823,3570.790773817741
urban heat,links,central heat pump,172741574.78903505,122028135.48491988,113074631.12303342,242199944.53927556,294610053.0591243,347443045.1047694,373743954.2364396,172741574.78903505,106190494.026317,101550125.94851963,293873060.25873035,329677604.7402855,343412150.9890304,346761311.4181299
urban heat,links,central resistive heater,1164977.9364639232,5247048.028170757,29522388.170738447,93671360.41842443,155954079.3225004,171611641.09515798,162781519.6891525,1164977.9364639232,1401614.592420817,18243634.79028784,163505575.74205124,210906163.82315585,195657321.90027812,191248964.56697336
urban heat,links,central water tanks charger,-25242069.05384754,-47926402.079106584,-65315343.16940623,-135275566.8968502,-214846480.82842943,-275593703.74305946,-271058118.63446176,-25242069.05384754,-52314149.90312748,-62926986.30393815,-215616505.89460826,-284110377.45267004,-278934796.0245169,-275454027.03459156
