,2020,2025,2030,2035,2040,2045,2050
AT,,,,,,,
BA,,,,,,,
BE,0.22,0.73,1.0,1.0,1.0,1.0,1.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,,,,
CZ,,,,,,,
DE,0.1,0.1,1.0,1.0,1.0,1.0,1.0
DK,0.01,0.01,0.01,0.01,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.02,0.03,0.03
ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,0.0,0.0,0.0,0.11,0.46,0.59,0.59
GB,0.04,0.04,0.13,0.28,0.38,0.51,0.54
GR,0.0,0.0,0.0,0.0,0.15,0.19,0.19
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,,,,,,,
IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT,0.0,0.0,0.01,0.58,0.84,0.88,0.88
LU,,,,,,,
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.01,0.01,0.07,0.14,0.16,0.19,0.19
NO,0.0,0.0,0.0,0.0,0.0,0.11,0.16
PL,0.0,0.0,0.99,1.0,1.0,1.0,1.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,0.0,0.0,0.13,0.36,1.0,1.0,1.0
RS,,,,,,,
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,,,,,,,
SK,,,,,,,
