,2020,2025,2030,2035,2040,2045,2050
AT,0.05,0.05,0.04,0.03,0.02,0.0,0.0
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,0.07,0.07,0.16,0.15,0.12,0.09,0.09
BG,0.01,0.01,0.01,0.01,0.0,0.0,0.0
CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0.22,0.28,0.22,0.37,0.47,0.43,0.43
DK,0.36,0.43,0.51,1.0,1.0,1.0,1.0
EE,0.01,0.04,0.08,0.12,0.11,0.11,0.11
ES,0.08,0.07,0.05,0.02,0.01,0.0,0.0
FI,0.01,0.03,0.06,0.08,0.11,0.11,0.12
FR,0.04,0.23,0.37,0.36,0.35,0.33,0.33
GB,0.12,0.23,0.28,0.27,0.25,0.23,0.24
GR,0.06,0.06,0.05,0.03,0.01,0.0,0.0
HR,0.02,0.02,0.02,0.02,0.01,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,0.06,0.07,0.11,0.15,0.14,0.15,0.15
IT,0.06,0.06,0.05,0.03,0.01,0.0,0.0
LT,0.01,0.01,0.01,0.01,0.0,0.0,0.0
LU,0.03,0.03,0.03,0.02,0.02,0.0,0.0
LV,0.0,0.0,0.03,0.05,0.06,0.07,0.07
NL,0.12,0.8,0.78,0.75,0.72,0.69,0.69
NO,0.01,0.01,0.02,0.07,0.11,0.11,0.11
PL,0.03,0.02,0.02,0.02,0.08,0.1,0.1
PT,0.11,0.11,0.1,0.05,0.01,0.0,0.0
RO,0.03,0.02,0.02,0.02,0.0,0.0,0.0
RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,0.04,0.08,0.08,0.13,0.13,0.12,0.14
SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
