,2020,2025,2030,2035,2040,2045,2050
AT,0.0,0.0,0.05,0.06,0.1,0.17,0.2
BA,0.0,0.01,0.01,0.01,0.02,0.03,0.03
BE,0.01,0.01,0.05,0.05,0.05,0.07,0.12
BG,0.0,0.0,0.02,0.02,0.03,0.03,0.03
CH,0.01,0.01,0.07,0.1,0.18,0.19,0.19
CZ,0.0,0.0,0.02,0.03,0.05,0.07,0.09
DE,0.02,0.02,0.02,0.02,0.02,0.02,0.04
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.02,0.03,0.06,0.07,0.08,0.09
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,0.0,0.0,0.02,0.02,0.03,0.04,0.06
GB,0.01,0.01,0.01,0.01,0.01,0.0,0.0
GR,0.01,0.02,0.04,0.08,0.08,0.12,0.14
HR,0.0,0.04,0.05,0.07,0.09,0.1,0.12
HU,0.0,0.0,0.01,0.02,0.03,0.04,0.04
IE,0.0,0.0,0.0,0.0,0.0,0.01,0.02
IT,0.01,0.04,0.06,0.12,0.15,0.16,0.18
LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,0.01,0.01,0.26,0.32,0.41,0.47,0.57
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.01,0.01,0.02,0.03,0.06,0.07,0.11
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.01,0.01,0.01,0.01,0.02
PT,0.0,0.02,0.03,0.04,0.05,0.06,0.06
RO,0.0,0.0,0.01,0.01,0.01,0.01,0.02
RS,0.0,0.0,0.02,0.02,0.03,0.03,0.03
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,0.0,0.0,0.02,0.02,0.02,0.02,0.02
SK,0.0,0.0,0.03,0.04,0.07,0.08,0.1
