scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,capital,offwind,3681602787.7782707,3454803961.0373425,3150988540.6402216,3160649545.498169,4490905300.577462,3956469140.2574844,3921118200.1964717,3681602787.7782707,3454803961.0373425,3150988540.6402216,3160649545.498169,4490905300.577462,3956469140.2574844,3921118200.1964717
generators,capital,onwind,19933062369.19307,26043074435.480644,27774111131.411102,26146493397.024483,22763940302.763004,20929221501.145832,20924524074.010933,19933062369.19307,26043074435.480644,27774111131.411102,26146493397.024483,22763940302.763004,20929221501.145832,20924524074.010933
generators,capital,ror,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428
generators,capital,solar,7688765815.241169,10891362920.847635,17392295968.914814,19442740570.329754,22907064569.569984,25312875282.166035,26255178156.821342,7688765815.241169,10891362920.847635,17392295968.914814,19442740570.329754,22907064569.569984,25312875282.166035,26255178156.821342
generators,marginal,offwind,240166495.13685235,226385640.02531302,207138017.83315587,203535268.21884027,282904150.6984459,245645133.13882586,240731593.134869,240166495.13685235,226385640.02531302,207138017.83315587,203535268.21884027,282904150.6984459,245645133.13882586,240731593.134869
generators,marginal,onwind,557066174.4523295,806123747.2388184,899589408.7053702,882589039.9364722,809046007.2727671,773373409.7187873,767600577.7301927,557066174.4523295,806123747.2388184,899589408.7053702,882589039.9364722,809046007.2727671,773373409.7187873,767600577.7301927
generators,marginal,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,solar,1307007.9669590741,2479794.9399372656,4932513.8654986005,6028719.687640659,7810828.8501898665,9431059.171982976,10851954.084043212,1307007.9669590741,2479794.9399372656,4932513.8654986005,6028719.687640659,7810828.8501898665,9431059.171982976,10851954.084043212
links,capital,CCGT,15158547433.400103,12065298308.637947,10609691587.535337,9046208271.111471,7888528568.818011,7516329732.745146,7490476600.165813,15158547433.400103,12065298308.637947,10609691587.535337,9046208271.111471,7888528568.818011,7516329732.745146,7490476600.165813
links,capital,H2 Electrolysis,9679729.525466217,9353711.394913156,8983718.593725279,8908997.31928935,8842983.371414782,8825949.935914699,8825839.957253356,9679729.525466217,9353711.394913156,8983718.593725279,8908997.31928935,8842983.371414782,8825949.935914699,8825839.957253356
links,capital,H2 Fuel Cell,8750090.181783462,8252419.788256973,7592154.525958606,7232635.943556363,6846460.025116036,6456903.449412229,6589111.7046087105,8750090.181783462,8252419.788256973,7592154.525958606,7232635.943556363,6846460.025116036,6456903.449412229,6589111.7046087105
links,capital,OCGT,195310093.79932982,407721238.42396474,425342880.41621256,452439447.0476826,527158093.0962453,551082383.8138728,550311831.2193913,195310093.79932982,407721238.42396474,425342880.41621256,452439447.0476826,527158093.0962453,551082383.8138728,550311831.2193913
