scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,offwind,80937525.20786928,80321792.16724087,77712217.80045556,78841077.63013488,120825896.03744175,110481749.69158317,109486880.38354419,80937525.20786928,80321792.16724087,77712217.80045556,78841077.63013488,120825896.03744175,110481749.69158317,109486880.38354419
generators,onwind,371042823.8534653,550055867.2508206,660518086.1390815,684927152.3553704,675747726.6844504,642778448.5903736,645790218.5711033,371042823.8534653,550055867.2508206,660518086.1390815,684927152.3553704,675747726.6844504,642778448.5903736,645790218.5711033
generators,ror,157838584.28989327,157841010.05455756,157782247.25155744,157748961.51464853,157685436.3287892,157673596.8779166,157602469.08249348,157838584.28989327,157841010.05455756,157782247.25155744,157748961.51464853,157685436.3287892,157673596.8779166,157602469.08249348
generators,solar,130690941.81500506,245005162.75533235,496250387.2759918,596252980.3275818,776373820.6014469,947019969.7260704,1074665386.9293728,130690941.81500506,245005162.75533235,496250387.2759918,596252980.3275818,776373820.6014469,947019969.7260704,1074665386.9293728
links,CCGT,-590519512.6523646,-584967723.0677557,-493782039.09241796,-419618473.6221185,-327379338.6033271,-305755773.9370972,-298633328.990374,-590519512.6523646,-584967723.0677557,-493782039.09241796,-419618473.6221185,-327379338.6033271,-305755773.9370972,-298633328.990374
links,H2 Electrolysis,-85930.35899642063,-69229.00737566313,-66499.08136227055,-68277.20893124753,-69529.94011846978,-72262.93288472282,-72604.72679294104,-85930.35899642063,-69229.00737566313,-66499.08136227055,-68277.20893124753,-69529.94011846978,-72262.93288472282,-72604.72679294104
links,H2 Fuel Cell,-79773.76751593887,-68067.74102287798,-66214.16250041513,-68646.41310134185,-73347.03354779622,-76055.77412015357,-80103.4931857122,-79773.76751593887,-68067.74102287798,-66214.16250041513,-68646.41310134185,-73347.03354779622,-76055.77412015357,-80103.4931857122
links,OCGT,-943079.6306432997,-7126090.1853625225,-15441582.107076596,-17347768.00133844,-18089740.887715723,-18856952.344357453,-15078964.745450206,-943079.6306432997,-7126090.1853625225,-15441582.107076596,-17347768.00133844,-18089740.887715723,-18856952.344357453,-15078964.745450206
links,Sabatier,-61644.365303453276,-45998.92811182794,-43453.23289958311,-44082.51581126113,-41582.53425351405,-43201.710351638954,-39891.308788667724,-61644.365303453276,-45998.92811182794,-43453.23289958311,-44082.51581126113,-41582.53425351405,-43201.710351638954,-39891.308788667724
links,battery charger,-108311.94605241265,-157372.1819840058,-551410.6057936787,-1303627.0581251562,-4279628.214128535,-7306252.381778547,-9849196.904783327,-108311.94605241265,-157372.1819840058,-551410.6057936787,-1303627.0581251562,-4279628.214128535,-7306252.381778547,-9849196.904783327
links,battery discharger,-102897.03003932898,-150292.74211896857,-529354.5675948431,-1251482.6975261075,-4108443.7153896256,-7014002.336800726,-9455229.071216814,-102897.03003932898,-150292.74211896857,-529354.5675948431,-1251482.6975261075,-4108443.7153896256,-7014002.336800726,-9455229.071216814
