scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
penetration,0.05184464711057395,0.0809580038768927,0.1256785878708022,0.15276215869039397,0.1857803839958395,0.20720496960428783,0.2283059434789793,0.05184464711057395,0.0809580038768927,0.1256785878708022,0.15276215869039397,0.1857803839958395,0.20720496960428783,0.2283059434789793
mix,0.6092575233958236,0.49335218358191896,0.36177759001197907,0.3406299221313309,0.31327216645361317,0.26575314350471724,0.24235609285310614,0.6092575233958236,0.49335218358191896,0.36177759001197907,0.3406299221313309,0.31327216645361317,0.26575314350471724,0.24235609285310614
onwind capacity,185592.26217574888,250013.97192848253,286468.61725943995,282007.1507388979,262096.68127785687,239229.5943569214,241586.93916597118,185592.26217574888,250013.97192848253,286468.61725943995,282007.1507388979,262096.68127785687,239229.5943569214,241586.93916597118
onwind expansion,30053.52317574875,70976.80675273365,63655.0743309574,31967.70147945799,27130.09053895896,15354.04807906448,2449.6948090497913,30053.52317574875,70976.80675273365,63655.0743309574,31967.70147945799,27130.09053895896,15354.04807906448,2449.6948090497913
offwind capacity,16917.775418158413,16903.77174653125,16413.23912419012,16854.04450812584,26295.10994475514,24322.7227666196,24327.21741898656,16917.775418158413,16903.77174653125,16413.23912419012,16854.04450812584,26295.10994475514,24322.7227666196,24327.21741898656
offwind expansion,23.855418158414153,10.54632837283398,8.067377658870189,1149.655383935721,14600.665436629304,8529.93282186446,4.494652366958676,23.855418158414153,10.54632837283398,8.067377658870189,1149.655383935721,14600.665436629304,8529.93282186446,4.494652366958676
solar capacity,116686.53825401075,195033.77784383134,392393.66362526006,477072.07182375964,627990.834152367,774198.1014110409,884091.1395012042,116686.53825401075,195033.77784383134,392393.66362526006,477072.07182375964,627990.834152367,774198.1014110409,884091.1395012042
solar expansion,252.53825401075426,78347.23958982062,197558.88578142875,86799.40819849959,178711.7623286071,212371.2672586741,130050.0380901635,252.53825401075426,78347.23958982062,197558.88578142875,86799.40819849959,178711.7623286071,212371.2672586741,130050.0380901635
heat pump uti,0.40031776193190693,0.38439070109314666,0.3880620904883053,0.3893223979406672,0.388147057680379,0.3893209194365103,0.3905282604860437,0.40031776193190693,0.38439070109314666,0.3880620904883053,0.3893223979406672,0.388147057680379,0.3893209194365103,0.3905282604860437
heat pump capacity,140715.07970908695,138165.6382543577,135606.44463681473,133050.8103723658,130583.85806091389,130714.65058070997,130722.25394629166,140715.07970908695,138165.6382543577,135606.44463681473,133050.8103723658,130583.85806091389,130714.65058070997,130722.25394629166
heat pump energy,1616122750.668524,1525623772.2386193,1513300258.52556,1490607776.8927233,1459301894.958861,1465613248.3389218,1470817344.8252692,1616122750.668524,1525623772.2386193,1513300258.52556,1490607776.8927233,1459301894.958861,1465613248.3389218,1470817344.8252692
