scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
heat,17.58215010155185,18.21470220266443,18.423143056522807,18.365547488508636,18.19545027455972,17.074622710247848,16.37424444031017,17.58215010155185,18.21470220266443,18.423143056522807,18.365547488508636,18.19545027455972,17.074622710247848,16.37424444031017
water tanks,17.602742598557374,18.20913131173073,18.386675308106412,18.36819739348135,18.16820818878674,17.102777085815173,16.415535493184446,17.602742598557374,18.20913131173073,18.386675308106412,18.36819739348135,18.16820818878674,17.102777085815173,16.415535493184446
central water tanks,12.616092182463733,10.684272484590926,10.007240167983925,9.597909387033743,9.575494039564939,9.607763954631368,9.400389971804477,12.616092182463733,10.684272484590926,10.007240167983925,9.597909387033743,9.575494039564939,9.607763954631368,9.400389971804477
cooling,20.848707129700504,19.498830157514657,19.12527914636887,18.034120139104765,17.840188090517973,17.014216238552635,16.10391309809971,20.848707129700504,19.498830157514657,19.12527914636887,18.034120139104765,17.840188090517973,17.014216238552635,16.10391309809971
coal,8.150000000000462,8.150000000000462,8.150000000000462,8.150000000000462,8.150000000000462,8.150000000000462,8.150000000000462,8.150000000000462,8.150000000000462,8.150000000000462,8.150000000000462,8.150000000000462,8.150000000000462,8.150000000000462
solid biomass,23.13410065480863,23.391719438521484,23.281479308557632,23.486778296792863,23.04606589014992,23.79061582249452,23.678058361251605,23.13410065480863,23.391719438521484,23.281479308557632,23.486778296792863,23.04606589014992,23.79061582249452,23.678058361251605
nuclear,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763
H2,41.39165644787946,44.17814061527661,42.6748501228705,41.435578599944954,39.796148215454586,39.151182792892996,37.59900011899767,41.39165644787946,44.17814061527661,42.6748501228705,41.435578599944954,39.796148215454586,39.151182792892996,37.59900011899767
battery,39.63685381074455,43.28422108866157,43.65630992328933,43.37053674830805,42.64154313139337,41.38555501074604,38.658571240613085,39.63685381074455,43.28422108866157,43.65630992328933,43.37053674830805,42.64154313139337,41.38555501074604,38.658571240613085
electricity,39.56647664644972,43.69738113815242,44.47925448989143,44.31397166718372,43.27164554966914,41.92280099542203,39.115636003367676,39.56647664644972,43.69738113815242,44.47925448989143,44.31397166718372,43.27164554966914,41.92280099542203,39.115636003367676
oil,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
urban heat,12.447185933232985,10.54267004355729,9.878117424038376,9.435852238011284,9.369780733234117,9.355436546588088,9.152713484511498,12.447185933232985,10.54267004355729,9.878117424038376,9.435852238011284,9.369780733234117,9.355436546588088,9.152713484511498
lignite,2.900000000000351,2.900000000000351,2.900000000000351,2.900000000000351,2.900000000000351,2.900000000000351,2.900000000000351,2.900000000000351,2.900000000000351,2.900000000000351,2.900000000000351,2.900000000000351,2.900000000000351,2.900000000000351
gas,20.100000000003273,20.100000000003273,20.100000000003273,20.100000000003273,20.100000000003273,20.100000000003273,20.100000000003273,20.100000000003273,20.100000000003273,20.100000000003273,20.100000000003273,20.100000000003273,20.100000000003273,20.100000000003273
