scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196,179455.95590398196
cooling,loads,cooling,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904,-179455.955904
electricity,generators,offwind,16909.28943998114,16895.105336547487,16404.53529218597,16846.27297827178,26287.609231656337,24317.401763390117,24321.84312690332,16909.28943998114,16895.105336547487,16404.53529218597,16846.27297827178,26287.609231656337,24317.401763390117,24321.84312690332
electricity,generators,onwind,171947.9546370956,234768.34083296306,271236.6424365609,269641.64241527393,253797.24690332377,233604.27880238596,235536.299604224,171947.9546370956,234768.34083296306,271236.6424365609,269641.64241527393,253797.24690332377,233604.27880238596,235536.299604224
electricity,generators,ror,49531.9408481841,49532.36623550581,49532.841407396794,49532.63853545479,49531.3694352296,49532.53814620298,49532.91391683339,49531.9408481841,49532.36623550581,49532.841407396794,49532.63853545479,49531.3694352296,49532.53814620298,49532.91391683339
electricity,generators,solar,87081.64593603248,147622.6197847678,289581.0347815666,347527.9953240211,456009.8454504093,556723.7648489167,630876.7523560241,87081.64593603248,147622.6197847678,289581.0347815666,347527.9953240211,456009.8454504093,556723.7648489167,630876.7523560241
electricity,links,CCGT,144593.130485908,119824.85078054477,108253.20554390071,94914.77815607392,81374.9189693965,78456.52346032261,79090.73601036482,144593.130485908,119824.85078054477,108253.20554390071,94914.77815607392,81374.9189693965,78456.52346032261,79090.73601036482
electricity,links,H2 Electrolysis,-75.23555351453001,-80.42020344002,-100.89915302402001,-116.32541004887,-124.03379796671001,-125.30035966119,-129.78956172471004,-75.23555351453001,-80.42020344002,-100.89915302402001,-116.32541004887,-124.03379796671001,-125.30035966119,-129.78956172471004
electricity,links,H2 Fuel Cell,24.570000512788877,34.42002127425158,38.931220038738616,41.29199596181039,42.485358391152396,43.57653928039899,44.34327665004019,24.570000512788877,34.42002127425158,38.931220038738616,41.29199596181039,42.485358391152396,43.57653928039899,44.34327665004019
electricity,links,OCGT,2540.345087434363,9352.457066079443,11152.145417111928,13146.391919393542,20384.894571978683,20803.47921295975,21044.326387419907,2540.345087434363,9352.457066079443,11152.145417111928,13146.391919393542,20384.894571978683,20803.47921295975,21044.326387419907
electricity,links,battery charger,-507.11283088689004,-2334.9481722109003,-12559.4205877602,-32403.055013110792,-67498.77318686101,-108091.61859478298,-140785.302282376,-507.11283088689004,-2334.9481722109003,-12559.4205877602,-32403.055013110792,-67498.77318686101,-108091.61859478298,-140785.302282376
