scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP,TYNDP
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816
cooling,loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
electricity,generators,offwind,80937526.8850486,80308734.0480492,77563038.91382384,79389568.4381588,115145373.36573394,101079194.43154931,100157985.49001138,80937526.8850486,80308734.0480492,77563038.91382384,79389568.4381588,115145373.36573394,101079194.43154931,100157985.49001138
electricity,generators,onwind,371377449.63488644,565700875.2553111,666362524.9669408,681010061.6793761,651405802.9571395,629526585.037678,631770022.8232036,371377449.63488644,565700875.2553111,666362524.9669408,681010061.6793761,651405802.9571395,629526585.037678,631770022.8232036
electricity,generators,ror,157838916.54359955,157841066.13389292,157768639.34427184,157718004.6687056,157581180.90335625,157649115.4403299,157593783.14098045,157838916.54359955,157841066.13389292,157768639.34427184,157718004.6687056,157581180.90335625,157649115.4403299,157593783.14098045
electricity,generators,solar,130700796.69590734,247979493.99372664,493251386.5498601,602871968.7640665,781082885.0189866,943105917.1982973,1085195408.4043214,130700796.69590734,247979493.99372664,493251386.5498601,602871968.7640665,781082885.0189866,943105917.1982973,1085195408.4043214
electricity,links,CCGT,851173990.4937432,866143825.3301728,772377127.0669094,658943540.9970009,547618037.1896317,520908544.09806865,511779071.9138815,851173990.4937432,866143825.3301728,772377127.0669094,658943540.9970009,547618037.1896317,520908544.09806865,511779071.9138815
electricity,links,H2 Electrolysis,-382764.392773892,-342245.9202754437,-302151.58337467426,-271014.80386274616,-261319.601527773,-338154.77260205394,-392445.09226472914,-382764.392773892,-342245.9202754437,-302151.58337467426,-271014.80386274616,-261319.601527773,-338154.77260205394,-392445.09226472914
electricity,links,H2 Fuel Cell,98749.30049249851,91459.93874687422,83020.99557668598,76549.4386220932,78117.59082871006,94066.15521648157,107567.22434106494,98749.30049249851,91459.93874687422,83020.99557668598,76549.4386220932,78117.59082871006,94066.15521648157,107567.22434106494
electricity,links,OCGT,589342.8410794605,4883680.327337669,12433940.888037901,13481467.610980866,10975747.38549223,10138098.662093658,8294915.93751745,589342.8410794605,4883680.327337669,12433940.888037901,13481467.610980866,10975747.38549223,10138098.662093658,8294915.93751745
electricity,links,battery charger,-1943629.501746073,-2989559.048446057,-7253597.471697536,-31519799.479107313,-93042799.88925563,-168516660.154292,-250336460.39950347,-1943629.501746073,-2989559.048446057,-7253597.471697536,-31519799.479107313,-93042799.88925563,-168516660.154292,-250336460.39950347
