,2020,2025,2030,2035,2040,2045,2050
AT,,,,,,,
BA,,,,,,,
BE,0.22,0.23,0.23,0.56,1.0,1.0,1.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,,,,
CZ,,,,,,,
DE,0.1,0.1,0.1,0.1,0.29,0.34,0.34
DK,0.01,0.01,0.01,0.01,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,0.04,0.04,0.04,0.04,0.02,0.0,0.0
GR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,,,,,,,
IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.01,0.01,0.01,0.01,0.01,0.0,0.0
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS,,,,,,,
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,,,,,,,
SK,,,,,,,
