,2020,2025,2030,2035,2040,2045,2050
AT,0.05,0.05,0.04,0.03,0.02,0.0,0.0
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,0.07,0.07,0.07,0.06,0.03,0.0,0.0
BG,0.01,0.01,0.01,0.01,0.0,0.0,0.0
CH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0.22,0.21,0.25,0.26,0.21,0.18,0.18
DK,0.36,0.37,0.38,0.4,0.41,0.42,0.42
EE,0.01,0.01,0.01,0.02,0.04,0.04,0.04
ES,0.08,0.07,0.05,0.02,0.01,0.0,0.0
FI,0.01,0.01,0.01,0.02,0.02,0.02,0.02
FR,0.04,0.13,0.2,0.19,0.18,0.17,0.17
GB,0.12,0.21,0.22,0.24,0.27,0.29,0.29
GR,0.06,0.06,0.05,0.03,0.01,0.0,0.0
HR,0.02,0.02,0.02,0.02,0.01,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,0.06,0.06,0.06,0.07,0.07,0.07,0.07
IT,0.06,0.06,0.05,0.03,0.01,0.0,0.0
LT,0.01,0.01,0.01,0.01,0.0,0.0,0.0
LU,0.03,0.03,0.03,0.02,0.02,0.0,0.0
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.12,0.57,0.74,0.87,0.87,0.88,0.88
NO,0.01,0.01,0.01,0.0,0.0,0.0,0.0
PL,0.03,0.02,0.02,0.02,0.01,0.0,0.0
PT,0.11,0.11,0.1,0.05,0.01,0.0,0.0
RO,0.03,0.02,0.02,0.02,0.0,0.0,0.0
RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,0.04,0.07,0.08,0.07,0.06,0.06,0.06
SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
