,2020,2025,2030,2035,2040,2045,2050
AT,0.0,0.0,0.0,0.05,0.06,0.06,0.06
BA,0.0,0.0,0.01,0.01,0.01,0.01,0.01
BE,0.01,0.01,0.01,0.01,0.04,0.05,0.05
BG,0.0,0.0,0.01,0.01,0.01,0.02,0.02
CH,0.01,0.01,0.03,0.04,0.05,0.06,0.07
CZ,0.0,0.0,0.0,0.01,0.02,0.03,0.03
DE,0.02,0.02,0.02,0.01,0.02,0.03,0.04
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.02,0.02,0.03,0.03,0.04,0.05
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FR,0.0,0.0,0.02,0.02,0.02,0.03,0.03
GB,0.01,0.01,0.01,0.01,0.01,0.01,0.01
GR,0.01,0.01,0.03,0.03,0.04,0.06,0.06
HR,0.0,0.0,0.05,0.05,0.06,0.06,0.07
HU,0.0,0.0,0.01,0.01,0.01,0.01,0.01
IE,0.0,0.0,0.0,0.0,0.0,0.01,0.01
IT,0.01,0.02,0.05,0.06,0.07,0.09,0.11
LT,0.0,0.0,0.0,0.0,0.0,0.01,0.01
LU,0.01,0.01,0.01,0.25,0.27,0.3,0.32
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,0.01,0.01,0.01,0.01,0.03,0.04,0.04
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.0,0.0,0.01,0.01,0.02
PT,0.0,0.01,0.02,0.03,0.03,0.03,0.03
RO,0.0,0.0,0.0,0.0,0.01,0.01,0.01
RS,0.0,0.0,0.01,0.01,0.01,0.02,0.02
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,0.0,0.0,0.0,0.0,0.0,0.01,0.03
SK,0.0,0.0,0.0,0.02,0.03,0.03,0.03
