scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,capital,offwind,3679621935.342981,3639037829.232181,20668344414.36508,28901045479.4417,38288802651.22692,44523322332.5181,44282690591.90022,3679621935.342981,3455009411.7976813,15722498454.636284,42431980958.99002,56862026002.01665,55542763739.331665,55033217356.76361
generators,capital,onwind,19928873800.377506,33448991003.981434,37569602258.87844,43006198807.448425,43072556319.4657,40464892026.37974,41915046655.63836,19928873800.377506,25247552580.165737,35962999451.38244,49453753231.42348,45434023337.759026,41825167010.295685,41482236904.91085
generators,capital,ror,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428,4394961172.33428
generators,capital,solar,7689406071.241515,14928246429.592035,26971563969.660595,37454074524.67448,41866150973.88598,44959676227.91432,50189747413.37852,7689406071.241515,10492257299.392847,24561078869.701653,40841669496.95321,47393044811.84205,46233391138.25594,42017255983.04131
generators,marginal,offwind,240112404.55295792,235028355.60614705,1303806000.9665778,1722821253.1863377,1997847990.4576623,2395285380.9109497,2455281118.0893817,240112404.55295792,226658517.0113101,998271608.0426401,2208095328.4016733,3324804436.0482135,3229894498.677999,3177818842.462118
generators,marginal,onwind,556975304.978224,1067426044.3734709,1232064744.1542752,1493214942.3129158,1512929705.3982658,1437319008.2542732,1495271591.0955467,556975304.978224,779611320.4664387,1192576360.5303895,1721957485.0290945,1617647213.458264,1515852979.3954396,1498896703.7377627
generators,marginal,ror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generators,marginal,solar,1307380.3991831006,3449926.941303287,7456095.84879144,11664141.96942594,14523226.627511807,17046350.153122626,21166232.88035436,1307380.3991831006,2375293.5649820296,6770038.174701624,12857505.044082968,16501023.120704455,17672081.64436399,17912308.31738
links,capital,CCGT,15157176994.922197,11941743265.594036,9474128737.696457,4402780773.83655,2636557815.869451,2214874371.9780226,2207046842.6121035,15157176994.922197,12189218884.448765,9352762416.959,4282605466.3976827,2513691290.434081,2092422277.9266038,2084998611.0977707
links,capital,H2 Electrolysis,7532607.9533069255,10193270.749385914,11380645.675449813,11190608.13104525,19971396.119716186,3035110821.7097516,8075690708.134051,7532607.9533069255,9612429.162874164,10848942.997822098,16072696.206215745,8421985156.209382,8232430410.219588,8031655935.150349
links,capital,H2 Fuel Cell,6464577.57847184,8680223.790263725,8257384.942876267,7767765.566851798,9517528.554196572,8821875.332062928,8105772.171579875,6464577.57847184,8339916.342038556,7969511.650910039,8858338.588344349,8221186.739991001,7574313.9616746325,6932219.647945499
links,capital,OCGT,192864753.64379045,611727326.5150377,552691380.9934126,498484597.23232317,488073773.7045103,487056921.98087764,485941636.55212206,192864753.64379045,419588994.6395118,425820804.36398727,372088923.14262545,361252770.8728038,360489303.7256737,359649926.05680406
links,capital,Sabatier,6106166.603426473,8202061.937666107,8297967.035332682,8357687.4707730645,16207107.104211941,3468640013.2658153,9338706343.801327,6106166.603426473,7789792.6397235785,8041031.581881569,11539933.298388353,8328320320.338653,8443979416.581429,8444006432.712534
links,capital,battery charger,10980181.330715021,42087560.72333364,560477789.2438608,2300667487.9926357,2779520088.5067344,2783684254.96629,2778062628.0565896,10980181.330715021,43051419.8766502,278977196.0246202,2976947343.862559,3092605947.4156938,2800038961.652946,2225210378.2490005
links,capital,battery discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,biomass EOP,4866068.797386368,6555687.4492605105,6578660.96046593,6477397.06107928,9365688.420807486,9224008.871772228,9035073.393006984,4866068.797386368,6247349.54116591,6181789.5586708775,6486065.757311436,6343531.330073171,6216200.869708568,6068635.436979537
links,capital,central biomass CHP electric,12898211.389491053,17750526.103013597,18711425.50720929,18471602.178258006,65152865.851998486,379067850.49820805,369560484.7209253,12898211.389491053,16717498.495059192,16889515.47491388,86646641.50358064,84774136.88531084,82672087.27145804,80575366.26978478
links,capital,central biomass CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central biomass HOP,4083472.3110140385,5399815.240623598,5731801.751622322,5627903.01873352,11129351.829865545,10920309.336799955,10684439.63323091,4083472.3110140385,5090240.488802745,5127339.135221229,7433095.079602864,7271444.997754856,7130534.551870997,6948995.124069808
links,capital,central gas CHP electric,1268119598.5988035,3034141428.7470045,4200550991.6883125,4137423604.4582486,4077147104.9978533,4013761853.1550736,3950257722.043214,1268119598.5988035,3724938475.1000576,4601790681.434119,4532876848.455918,4463215295.553212,4393798254.233193,4324209769.19125
links,capital,central gas CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central gas boiler,4372335129.284259,3133059867.294267,2229523393.365624,1532542424.5752747,1339338801.7748814,1310114803.8077269,1280692064.6026278,4372335129.284259,3149927971.7968802,2301500626.8248863,1354555562.480338,863910540.2055118,845595454.8635613,827154018.0029582
links,capital,central heat pump,14853119113.654745,10396960149.715185,6774162352.123689,6239636234.59939,7686478652.382601,9618536789.041296,10449254323.909647,14853119113.654745,10370479630.918879,6536155417.987204,8234621705.533226,11042959255.068174,10890525069.245794,10604305655.12737
links,capital,central resistive heater,724830901.9574865,542473151.8536023,568349160.2453701,828542448.8180764,1112497593.5937753,1199664630.7502182,1202869637.92285,724830901.9574865,521970832.6174953,461469722.0859925,1165614528.029359,1289605181.181362,1295548504.6991594,1291790920.781163
links,capital,central water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,central water tanks discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,coal,18558403851.470184,13595122640.707495,11450380191.01048,8705064341.223675,6874905716.128358,4966648757.647542,2930844946.5480824,18558403851.470184,13594865415.970987,11450260349.97482,8705450315.78464,6874390596.308227,4965850569.469974,2930022769.143577
links,capital,cooling pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,decentral gas boiler,19391308284.053566,15396506753.498919,12313245313.471958,9486170008.822287,7647242837.783305,7474746880.952791,7301252012.534003,19391308284.053566,15385234799.705637,12594743610.381397,8873041271.302906,6072356903.316972,5943694186.767277,5805730648.295949
links,capital,decentral heat pump,41345807754.35865,39963879784.36503,40887333991.44499,49185074497.35316,58241714016.77905,63224795951.369446,64394997448.37091,41345807754.35865,39964481574.75454,39711181438.677986,58651153130.66332,70968235929.98784,68238731900.32945,65518077223.8254
links,capital,decentral resistive heater,1604707410.6980536,1582662058.0228436,1752427795.4562058,1664639712.9052682,1638891358.012227,1640686527.951215,1641293408.7632215,1604707410.6980536,1586672271.3786285,1697973533.670491,1687802165.0830853,1653696251.8085167,1653696964.214589,1653698828.8040626
links,capital,lignite,8703182429.107212,6578125927.066685,5314114611.552036,4578260409.395783,1141453223.2333896,1040354058.6693139,1010984459.7629772,8703182429.107212,6584239462.93102,5320261253.846001,4584426402.726428,1146947694.9471476,1045810047.2610834,1016418630.0529101
links,capital,nuclear,63262668786.995155,27137522559.430496,8385081143.236486,7525763455.178278,5946341686.177666,2306584506.212039,18132752.382371478,63262668786.995155,27135997680.611347,8384971122.962267,7527052043.091959,5945328600.945999,2305496037.328645,16984074.219528414
links,capital,oil,224889591.36151767,378970284.1012691,326081621.6153723,262492248.70266905,219546089.36158282,194625991.18964994,193400144.43472096,224889591.36151767,294676595.9262145,242286828.5965993,179264172.5749283,136537059.46239012,112093646.13125041,111387700.50657746
links,capital,transmission lines,6840020700.764943,7232216459.260591,7624412217.75624,13589426522.712862,17220521547.211784,19492563658.12603,19783647810.70587,6840020700.764943,7232216459.260591,7624412217.75624,18046948944.09115,22589152147.734856,22636412461.311184,22673690578.454567
links,capital,water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,capital,water tanks discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,CCGT,3652388793.6571474,3504729567.068483,2222400899.050222,724021137.5939968,93553091.61797068,48593782.26704443,29961396.644215547,3652388793.6571474,3762390000.4694986,2379471851.1160827,150971293.72479305,47179810.218645334,38811456.51831024,38096034.57494719
links,marginal,H2 Electrolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,H2 Fuel Cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,OCGT,2226938.0035030534,35166852.0948034,36404826.79588259,19745787.46208769,16795626.08698722,9096599.116932957,5815975.788257037,2226938.0035030534,24010803.501067195,19432303.60263696,6654371.729520167,3743676.205200596,3878487.6889940794,3825574.3647672758
links,marginal,Sabatier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,battery charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,battery discharger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,biomass EOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central biomass CHP electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central biomass CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central biomass HOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central gas CHP electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central gas CHP heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central gas boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central heat pump,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central resistive heater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,marginal,central water tanks charger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
