scenario,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
generators,offwind,48736405.62711141,56288863.920277715,371523798.6694644,688029801.4578222,893945387.6842793,1044454972.3712641,1266570848.4174235,48736405.62711141,47902304.88019933,266153753.93574235,838536993.9909118,1075844555.7464266,1099096980.0569682,1225423061.8906622
generators,onwind,769720000.6502728,1309622872.9672413,1687707272.8029125,1917235725.5597384,2138125859.9984787,2258922318.0889306,2743978976.6896486,769720000.6502728,1048047770.7304821,1617141896.51903,2197191251.459209,2795358075.2596846,2750396561.7535954,2762695326.2854524
generators,ror,157846506.87671,157855640.55107275,157846163.49229836,157853747.115765,157828643.32664505,157762218.11832976,157803937.6405781,157846506.87671,157846375.6788797,157821171.66917157,157837201.54744518,157828323.63839898,157787306.92984158,157818572.17552188
generators,solar,98322235.12003677,209667148.24890327,382730727.04220164,461299972.2938621,478698649.55020255,508084177.6106498,650467590.1404505,98322235.12003677,95287530.48145542,359444736.13161904,464745475.5472076,481732990.92094535,511260933.91868824,647964662.8659196
links,CCGT,-62004933.79859478,-21562447.46391408,-8533736.4617378,-76007246.46062398,-2295050.567240796,-219052.51821840557,-29409.65912002226,-62004933.79859478,-39575135.655588806,-12510548.72883676,-4883701.961698706,-928800.4289125033,-178933.21326999465,-29845.92674492032
links,H2 Electrolysis,-55539.09088863028,-37235.60945755277,-43480.17420162218,-966728.2120735955,-30361897.085141562,-65706020.2827943,-169454664.91462287,-55539.09088863028,-67943.76469265498,-64549.77527828527,-32616586.272779383,-156679308.78598842,-157526013.4863143,-167271189.4793134
links,H2 Fuel Cell,-63203.19831882469,-41740.28522573362,-53716.679650056256,-1608084.8773556342,-50955270.76691352,-55541546.265779614,-44570529.50126056,-63203.19831882469,-76013.03603983457,-75023.23372648466,-54735998.60364737,-27839489.180798467,-28294068.92533745,-43025327.62063316
links,OCGT,-6771224.253616781,-800777.7320072537,-100052.05164160545,-34724.63033393847,-326754.78997680574,-117325.41298712457,-38328.73881141355,-6771224.253616781,-3528463.0492368178,-176590.97775107596,-421995.55252828164,-125286.66257367899,-110198.94698522204,-45192.776410942824
links,Sabatier,-28817.320053558058,-19855.941338270906,-18432.106940202288,-15316.864511563002,-50298.55160392378,-52233049.03387859,-228679461.84657237,-28817.320053558058,-36359.7424430565,-31908.161095142823,-57078.0320091832,-224173193.7153754,-225094970.82224485,-226657520.45110878
links,battery charger,-42163.96594480936,-23744.1463707429,-22335.620480911748,-17850.80003922635,-33074.04476500062,-106556.33547754606,-61568.54157876655,-42163.96594480936,-51782.96026827993,-38297.252807197154,-47708.052651053775,-52054.09167893336,-133323.26238678908,-62491.693578886145
links,battery discharger,-37950.6588678318,-21370.39045871283,-20102.52865660162,-16066.993622611863,-29768.567725591904,-95903.35427161519,-55414.21488702536,-37950.6588678318,-46605.5618787806,-34469.1779314155,-42938.548949829456,-46850.742469315235,-119992.63521049291,-56245.01964757379
links,central CHP electric,-103299071.45532109,-100083368.99878591,-87202898.29304577,-77946934.87183699,-27013653.15372237,-7058058.366612771,-3858401.345308571,-103299071.45532109,-104298724.0098671,-91618634.36214273,-26693415.12500415,-3963327.6259000646,-4108214.530421157,-4332006.878316262
links,central CHP heat,79457238.12166096,78964862.76164916,69229525.55972043,51005098.27078129,20945456.951515663,5113451.112465986,2798740.1578133856,79457238.12166096,81467693.10945752,72790409.15148239,20897383.988241613,2950802.63919532,2981823.6943756132,3031505.238214959
links,central gas boiler,-17876061.574096307,-16753928.441712609,-16177602.056190582,-12035028.106174998,-4642560.790523827,-1659018.4437028859,-745833.591143046,-17876061.574096307,-16996177.822775487,-16089906.623962669,-4946990.047814676,-873101.993220458,-881992.730642224,-805144.1232460361
links,central heat pump,148307940.22369593,151663023.70656314,154844554.52802318,170968093.4148091,220385661.1603474,245951097.33699128,247298942.326934,148307940.22369593,150198470.52419204,155680241.24309117,219432775.76038507,246487701.56848937,249091590.4354143,240033909.3895883
links,central resistive heater,-859156.3885470784,-1650578.4489046584,-3886987.848703254,-9412206.530315185,-16098733.31019962,-20405268.30100407,-21808833.882533655,-859156.3885470784,-1108925.3379502902,-3139315.4663279895,-15772115.588054439,-21559221.136805438,-21375567.79200219,-22944565.001711562
links,central water tanks charger,-5610564.490953168,-6061809.952417115,-8330237.7405857565,-12000031.66869613,-19777797.621364187,-26071386.152743645,-26478233.73812464,-5610564.490953168,-5582033.702996588,-7750825.1262647705,-19266891.01546534,-25823160.671854686,-26301049.707401842,-26772538.351097755
links,central water tanks discharger,-4945667.768856466,-5317608.464569621,-7263001.297470743,-10361949.501472587,-16610185.309322309,-20821817.89281352,-20928892.08577934,-4945667.768856466,-4906544.618158158,-6764803.916590685,-16222618.618118599,-20487052.972493943,-20801421.109309666,-21185274.80418294
links,coal,-290509694.9208598,-90862241.44621046,-915210.0813175091,-38445.45250827589,-19451.76359665204,-32525.924756843895,-14587.17059220741,-290509694.9208598,-201030726.0308321,-5799736.290095387,-27800.962098437838,-13291.12010425525,-37186.10799194222,-11988.938084447049
links,cooling pump,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204,46998793.14355204
links,gas boiler,-186536065.82837802,-173402728.99916837,-159637524.9916103,-127519432.59278534,-72506097.90096404,-42964937.01424206,-32668242.339416668,-186536065.82837802,-180902622.71603394,-163628081.93137476,-73844588.178998,-31649624.480784666,-31875816.22171017,-32114674.816468704
links,ground heat pump,956578168.2670621,962488910.3265284,995740281.1357898,1163024130.854408,1557061017.0390933,1778769218.7954097,1826552249.9141233,956578168.2670621,960448618.9667099,977579151.9718888,1550119991.73208,1836473200.10232,1838373672.5586991,1851417473.504964
links,lignite,-1527455290.0089934,-1165864887.1120071,-486377949.4860268,-22742009.45872381,-4066195.4673714247,-220108.07386213343,-30953.248727780458,-1527455290.0089934,-1391883666.2111778,-660420563.795511,-2479062.811188441,-15860.311196625817,-54658.111702398615,-313984.94141422183
links,nuclear,-729577650.6396527,-693075523.9226742,-585998732.2110897,-484858221.5379165,-467599774.5153557,-455941934.2021202,-15432154.02035234,-729577650.6396527,-705925679.9249417,-598399530.578102,-470537335.4136652,-468521907.1521662,-463306486.8365766,-15440376.796630342
links,oil,-120547.77355327236,-22836.61246126914,-18293.3852284637,-10001.051191953155,-14524.277947646277,-34781.561364247165,-16036.934594513337,-120547.77355327236,-81446.90093388571,-35126.50625118055,-20928.101430855226,-14505.288111709095,-41631.476881226496,-12604.036011122695
links,resistive heater,-2499812.2647751574,-14656940.031720571,-26066964.60175466,-37862555.0663605,-33528380.703061547,-27800895.536170267,-32929345.57249142,-2499812.2647751574,-7485180.01615551,-23740164.43829031,-32834725.50933782,-29133736.70952627,-29231833.354686994,-29344991.688990846
links,transmission lines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
links,water tanks charger,-1419155.5242039142,-1475030.8169646063,-11028314.735500269,-28313883.11178742,-39086368.59579568,-42659442.500195965,-50136083.55632804,-1419155.5242039142,-1437797.49144027,-7245384.169523628,-37845300.42357346,-41764519.67461844,-43653066.53874944,-49961540.65109668
links,water tanks discharger,-1162173.0534331147,-1208415.4725986703,-9007223.052774178,-22341337.793868553,-30420023.366368774,-33206285.076126836,-38960157.77376649,-1162173.0534331147,-1177805.9000182692,-5966646.853327913,-29519924.35102859,-32572409.449419715,-34081618.76215136,-38792410.625924654
loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
loads,electricity,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254
loads,heat,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224
loads,urban heat,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174
storage_units,PHS,-10437688.367528792,-4524794.878956628,-13411462.690821538,-19176834.627861343,-20928067.54190115,-19220352.23497573,-20096837.2885271,-10437688.367528792,-6870934.254184081,-11073555.588945242,-20923605.02416313,-18323508.919297468,-18618692.56802021,-20154336.497095745
storage_units,hydro,316130306.4217556,316136807.5596168,316139438.5676259,316141947.4757771,316135877.8893603,316118961.1096491,316133419.97576433,316130306.4217556,316127680.51328623,316131382.94761395,316136312.8090259,316133581.5485183,316124876.0173137,316135724.9294107
stores,H2 Store,3.272727956693533e-10,-1.4355400895782466e-10,-2.3305813529050923e-10,-3.7879034387421073e-08,1.0836401270024332e-06,-5.298265413067327e-07,3.115635820893914e-06,3.272727956693533e-10,-1.511297250539334e-09,5.7333528549752266e-11,-2.299171567715641e-06,-2.2719642972512943e-06,-5.250590265015731e-06,3.0251136000636336e-06
stores,battery,-9.439371038283406e-10,2.4220168535690756e-10,2.245293569125284e-10,-1.7113525544593111e-09,-3.095772770078664e-10,-1.5950118552321424e-09,-8.387181782421038e-10,-9.439371038283406e-10,1.0927611419908612e-10,7.921610659100686e-10,-1.9931898822406202e-09,1.0538910993895811e-09,-2.155649610202648e-09,-3.167984430341164e-09
stores,central water tank,-1038426.7504404186,-1380210.0475838156,-2342130.3465785906,-4380799.904257971,-11898340.482799044,-26424317.056829188,-29015202.4148005,-1038426.7504404186,-1172864.1243726437,-2109399.802067532,-11175843.08092326,-27537932.330096845,-28695249.462297324,-29100116.50648969
stores,coal store,541995699.4792155,169519107.17576572,1707481.494995352,71726.59050051463,36290.60372509706,60682.6954418729,27214.87050784966,541995699.4792155,375057324.6843878,10820403.526297376,51867.46660156322,24796.865866147848,69377.06714914594,22367.421799341475
stores,gas store,2410839299.5194697,2171348646.0357475,1971925773.9380443,1718168853.7277935,837194379.8583996,384199455.054311,-183985.5884379167,2410839299.5194697,2298346492.9684896,2028993190.9562297,858322214.0697403,-127785.0079414961,-397117.8973246715,-1081487.5342511837
stores,lignite store,2762125298.3887725,2108254768.7378092,879526129.2694883,41124791.06460004,7352975.528700577,398025.45002194133,55973.32500502795,2762125298.3887725,2516968654.9930906,1194250567.4421542,4482934.559111098,28680.490409811584,98839.26166799024,567784.70418485
