scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
penetration,0.05187070611133926,0.11508900376579576,0.23782330398668566,0.3681076664367574,0.46003718158377355,0.5159689417472162,0.5807280760861507,0.05187070611133926,0.07964155759243449,0.21111884996096236,0.4443213204033357,0.5471501864394502,0.5575811451418917,0.5610760396225531
mix,0.6093276330994286,0.4827658361288065,0.5150503504527835,0.4660238621565377,0.474689474635279,0.46073461835024176,0.40646301080669633,0.6093276330994286,0.4995054281299134,0.512610806618841,0.5224252662532839,0.5154134592954012,0.4924423868454879,0.48934203976328966
onwind capacity,185677.6372704294,329438.18820875377,391126.19681545906,461369.5945373135,476611.88971520634,451297.82178180007,471245.0244267423,185677.6372704294,248662.4477768258,374400.3224886832,530538.8225284981,502742.2927899891,466468.72936423845,466379.0047553491
onwind expansion,30138.898270429243,150315.64793832434,88888.4376067053,106672.56572185452,62282.855177892765,12907.067066593749,20039.55264494217,30138.898270429243,69539.90750639635,152938.30371185756,192567.66803981495,19244.030261490767,1947.5715742492775,2.6253911106662944
offwind capacity,16908.410610939343,17799.223184278453,107668.79282982186,155853.43025260224,213986.0513206149,251113.95325994564,252069.5527315922,16908.410610939343,16899.105343278345,81904.11360200045,228821.12654283986,317786.9134508381,313264.2005778617,313264.5803377919
offwind expansion,14.490610939337314,915.3625733391204,90368.16964554343,48893.48742278037,63292.22106801269,47630.2219393308,955.5994716464982,14.490610939337314,15.244732339005031,65503.608258722095,147625.86294083935,94125.38690799831,5979.607127023533,0.3797599301580713
solar capacity,116698.32836663908,270290.9477905404,605160.6907200826,927739.3135061003,1157373.6297151383,1372091.3294948684,1709395.1973264134,116698.32836663908,189972.89355388892,551076.6624560003,1011650.2116901719,1310162.4826067116,1410962.8991180279,1431051.1465754062
solar expansion,264.3283666390533,153592.61942390134,335068.74292954203,324699.62278601836,257427.31620903758,280881.69977972994,357460.8678315454,264.3283666390533,73274.5651872498,361302.7689021115,462694.5492341716,326305.2709165395,166964.4165113169,40245.24745737733
heat pump uti,0.3702745352488747,0.3856982910306882,0.43048879705483073,0.5224880814749486,0.5229684961028145,0.503393205868367,0.491994156240215,0.3702745352488747,0.3689797697634179,0.4144240449238912,0.5251322734197938,0.48456977159090864,0.48511161775606754,0.4854649433740047
heat pump capacity,145624.44049726796,131609.36670516478,125329.49182266467,150164.40420868542,185877.08492778274,214833.43581925484,230065.47439900856,145624.44049726796,131516.8398186875,121396.47501651954,182432.806808838,232797.7100167204,233534.9026756833,233611.92460271614
heat pump energy,1485456592.8099074,1400915501.7650623,1515664085.5937414,2198495067.022785,2704271360.0198617,2983598748.268568,3106806614.8761687,1485456592.8099074,1351489495.472016,1413294166.676522,2660703895.037785,3089116581.650952,3103235282.624887,3106664883.223596
heat pump expansion,27095.440497267988,15577.544378887993,22397.023523832948,53016.46679000792,63937.849473617374,28956.350891472157,15232.038579753627,27095.440497267988,15485.017492410707,18555.69918721538,89007.47413022266,78622.42975430569,737.1926589628446,77.0219270329302
resistive heater uti,0.003139801579894245,0.011658225519733247,0.06196188874989674,0.08066544062329464,0.09528365948869531,0.08583672676363116,0.0933476193727142,0.003139801579894245,0.0069681402098797215,0.04856404281689242,0.10183762805985071,0.09993860087298626,0.09430044625110828,0.09307792147395022
resistive heater capacity,278282.64009826817,254428.6033834627,283698.2763239025,313315.18101322534,354250.4985434278,368264.19603452436,369360.04560152703,278282.64009826817,251981.8405517853,261375.8035462819,367019.9559198108,382324.08675138786,383801.52882003965,383802.0082733363
resistive heater energy,6985955.258816796,23919519.76024608,142829078.6563477,208524259.30457667,280010529.95473623,263783733.58077928,286008540.07187545,6985955.258816796,13958202.03451697,102211911.61257413,309862714.0357921,319677046.9956232,302337313.8093291,298249006.4652527
resistive heater expansion,50552.64009826811,32783.08352297004,84114.94196696617,86460.04456534964,97740.1139930668,14013.697491096407,1095.849567002897,50552.64009826811,30336.320691292734,63886.44845263497,161681.7650805104,72014.541446302,1477.4420686517535,0.4794532967845184
gas boiler uti,0.2040461275320788,0.24970272498702745,0.27594285565363413,0.2277517980309659,0.1537512464931129,0.09575771491902911,0.06019758348084186,0.2040461275320788,0.25478279290206785,0.2868625302892913,0.14091189785343014,0.07230873635865828,0.07260348573683414,0.07229801418978339
gas boiler capacity,1123444.9818870588,882921.5986261101,698728.6677060027,533642.192660382,440644.8669806204,440651.91404307925,440655.8576408979,1123444.9818870588,884662.2884179361,717373.6473752022,497602.65273510915,342684.0183213389,343100.55340192816,343103.08517088176
gas boiler energy,1953521364.8632755,1885702314.8561292,1656659381.3186114,1046379358.7332397,584608388.8228445,365015228.6641706,230047756.89292634,1953521364.8632755,1927779441.6068296,1768255283.5215082,603522677.8515841,213808528.83517525,215486549.62984875,215124737.80949348
gas boiler expansion,55684.98188705943,22054.289380780145,69512.67301201122,77053.82643583178,139112.53102332284,7.04706245876457,3.9435978188562633,55684.98188705943,23794.979172605636,86379.66742098419,23374.475281657673,77278.57394681236,416.5350805893193,2.531768953196234
gas CHP electric uti,0.5982021626016757,0.5819326721294716,0.4944671729261631,0.2061848205676245,0.10351739115435232,0.05243488508007205,0.0352098249815473,0.5982021626016757,0.6335748945075201,0.5282888691985015,0.08360735808956092,0.03185209998001807,0.033099640393463914,0.0335985454813796
gas CHP electric capacity,38638.89821823749,94796.49934458677,134663.70151701223,134666.8659914629,134778.53808788263,134781.3085431171,134784.41637639768,38638.89821823749,116379.2578578881,147526.8763537473,147538.2695765199,147540.82136716408,147542.8537730769,147543.81385731368
gas CHP electric energy,94759480.7070604,226159585.84801668,272984489.3485167,113832795.5591495,57198418.23521892,28973432.42246452,19455997.779069614,94759480.7070604,302289806.49039,319515967.631625,50570720.948053166,19266384.637417827,20021260.39337974,20323169.59314981
gas CHP electric expansion,18710.369891776118,56157.60112634931,39867.2021724254,3.1644744507006024,111.6720964197014,2.77045523450127,3.107833280604069,18710.369891776118,77740.35963965062,31147.61849585921,11.393222772590285,2.5517906442036207,2.032405912801252,0.9600842367964546
nuclear uti,0.8998949275915424,0.8926155606729371,0.83628574632865,0.7830640653835327,0.6292870806418939,0.6436902677300466,0.6637012953326437,0.8998949275915424,0.8978236063299762,0.8548915349720163,0.6580059449054974,0.6908895363054792,0.7080304188840807,0.6703523382764864
nuclear capacity,271240.025003667,116352.6996045834,35951.21202690679,32266.869338491517,25495.065234597514,9889.529656811379,77.74455779188999,271240.025003667,116346.16165452593,35950.74031266357,32272.394186314552,25490.721610326873,9884.86282354607,72.819575972679
nuclear energy,705608210.5072716,300233371.8429492,86913307.45302136,73041918.41794646,46379171.81995322,18402237.273568608,149162.86245732268,705608210.5072716,301968141.6339776,88845799.70205514,61387373.03916844,50910667.506939724,20232083.531341102,141113.7458623687
nuclear expansion,35.3072671054419,24.301428387064494,6.7548465657979255,0.5057964332186274,10.014077924167832,0.525028274475271,0.33611310172167663,35.3072671054419,17.763478329565757,12.821082380075657,6.50235849946652,0.14560583050657017,0.2018192797979519,0.07796454782237539
coal uti,0.9732585750272829,0.5526284401107177,0.013490226211919604,0.012197544890339383,0.007497394444429703,0.0007475166801011018,1.60933214270868e-05,0.9732585750272829,0.9729071463298331,0.035260336383328025,0.0009140352452839682,0.0006953097573245651,0.002494974865597433,0.004116630118191253
coal capacity,160689.72842597208,117714.67969644436,99144.22048326339,75373.63860152406,59527.0337535689,43004.20695879786,25377.003447531675,160689.72842597208,117712.45249127172,99143.18282810572,75376.98059946082,59522.57353895851,42997.2957695322,25369.88454523246
coal energy,452099890.2810039,188053708.6601262,3866381.292328901,2657724.452400288,1290157.252856576,92928.70331649225,1180.603510163804,452099890.2810039,331063915.86481607,10105722.170050105,199168.0747619308,119640.45891115283,310116.8494930114,301910.6157969343
coal expansion,47.75739939573161,33.223997744972905,5.2983625766293345,0.9252984083136329,7.940606590305386,2.5220380213024187,0.2448357035069269,47.75739939573161,30.99679257236,6.487912591580308,5.304951502711558,0.1383940431792678,0.07106336601873886,0.037122669965992616
lignite uti,0.9994179226209268,0.9836178392186166,0.0417656245528645,0.006725728671766813,0.004296011441805664,0.00015885258528155834,3.954304081602765e-05,0.9994179226209268,0.9990306713860668,0.3909340832429035,0.00018051750325124937,1.4842426350266397e-05,2.2248877886523233e-05,2.4962716514274663e-05
lignite capacity,75357.34388408305,56957.337346037624,46012.77354394568,39641.30901219226,9883.382747799911,9008.005887380587,8753.706384577972,75357.34388408305,57010.27198554786,46065.994838667655,39694.69785973038,9930.957160696313,9055.2470904562,8800.75867178426
lignite energy,217716208.21197212,161954910.82666114,5555401.330504847,770735.5234328327,122740.83961466135,4136.5758737658625,1000.6451265314938,217716208.21197212,164645543.7683722,52059744.976047285,20714.28106755903,426.1024753090723,582.4068359706986,635.0822913561803
lignite expansion,92.75509551972608,10.508477841006394,8.466500938352127,0.6566803677823363,5.844477981530099,0.38071533824495307,0.24595174284450172,92.75509551972608,63.44311735122601,8.753156150114311,0.8242331839300205,0.03004333980223095,0.04750551746016052,0.057035873519760416
OCGT uti,0.013773182515196594,0.06716584044506714,0.07535156912853647,0.04472716710958621,0.038348926558349566,0.020535759777153866,0.012983010269611921,0.013773182515196594,0.06685831774409072,0.052205160402733077,0.020193378884305748,0.011548606355875615,0.0118299108959925,0.01153861269079438
OCGT capacity,9765.80197806007,31252.120591573002,28502.410661106605,25745.25448725865,25250.715529160527,25251.75980335863,25253.295204652222,9765.80197806007,21436.0962654307,21959.6683635813,19217.29191109248,18689.574082611445,18689.78531777873,18690.19871909997
OCGT energy,494875.11188956647,7814856.021067433,8089961.510196098,4387952.769352815,3732361.3526637997,2021466.4704295476,1292439.0640571173,494875.11188956647,5335734.111348282,4318289.689474878,1478749.2732267065,831928.0456001293,861886.1531097947,850127.636614946
OCGT expansion,233.61831229306324,24961.914184041845,19.218640962171193,2.408111866337075,33.55627999710876,1.0442741981095356,1.5354012935894907,233.61831229306324,15145.889857899541,3292.500669579171,17.187833225466516,0.37740961419973695,0.21123516728796776,0.4134013212395069
CCGT uti,0.655291718723975,0.7940694268171914,0.6313208675617574,0.44297136474831633,0.09567135593744766,0.0592095446768691,0.03666905735270126,0.655291718723975,0.8351406600807326,0.6847116094713235,0.09495935986089225,0.050606387146053304,0.050057680487030784,0.04935410090581421
CCGT capacity,245094.47859589604,195286.50145554697,156851.62697116943,73105.20075151834,43913.349317721004,37012.62058763045,37013.287563364946,245094.47859589604,199333.5360238524,154842.3124057645,71109.7709477223,41866.93841847099,34966.331662792516,34966.477227299
CCGT energy,830088362.1948049,815053387.6903465,529143071.202434,174462924.72144464,22817827.22389529,11998464.757294953,7490349.161053885,830088362.1948049,874974418.7138345,566540916.9323996,36378624.99392601,11507270.785035426,9583075.683533348,9524008.643736783
CCGT expansion,35.24078516924241,33.818007981136546,36890.513364750215,1.3261483672319403,51.12897755482285,0.5933038077597532,0.6669757344799261,35.24078516924241,4080.8525762865083,30834.164231039977,15.210909976054372,0.14788210087270687,0.7152782198310774,0.1455645064898468
