scenario,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
gas,20.10004701809822,23.080751978501095,31.20566732320003,42.322999894602596,64.15749886060509,86.53561333139392,95.38610649490316,20.10004701809822,20.10003654609587,27.76782898590272,65.20205817040302,102.24950746798821,96.16916990510258,82.74203911131603
urban heat,14.30647537566129,15.160981288471106,18.83287481462774,21.237220254165926,21.249714446531076,20.381220042387124,19.305085162674093,14.30647537566129,12.74436834015436,17.04707734957101,21.74463903668777,20.980038114030073,19.83854596693546,17.573314009519443
solid biomass,22.954858953141255,22.70492264760425,23.776566246901773,25.130909091740634,24.968229344407355,25.14921158182228,25.178259168610236,22.954858953141255,22.647592338109046,23.49045583888935,24.93742322909329,25.19141146576376,25.188656549307442,25.18037474889655
oil,50.000062340507135,53.952124625207766,64.7248015345008,79.46506980849854,108.41503332901529,138.0857667219874,149.8204740129891,50.000062340507135,50.00004845579558,60.16663445171071,109.79999544599602,158.92053205100726,150.85872349198692,133.0559359269879
cooling,21.82280871128504,20.52033949415306,23.63951033651377,24.158820821625227,24.066111800281746,22.906404271315488,21.303785162094773,21.82280871128504,19.37984607644867,22.6819913341104,25.730759252275217,24.425498886263483,22.487475886521363,19.867915045977245
nuclear,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763,2.5999999999997763
H2,41.3760255523831,47.00206033205976,52.55166889785126,42.67358427101899,48.84505270089432,49.17031590211299,49.5299632270789,41.3760255523831,43.92216162465129,50.460808106697435,50.66807963325339,54.45252026033131,50.75654729897245,46.390434425834776
electricity,39.42306336613298,46.21302129662224,55.60086305599012,56.203024852569946,54.4058150761439,51.93930655959049,47.72377567412899,39.42306336613298,43.208316433990234,52.40545106818666,59.32030791678953,54.92690677793632,50.900371974688824,45.369645403078074
lignite,2.900095195949747,8.93502564859111,25.385261311101925,47.894140847393665,92.10169727390165,137.4098932499974,155.32918127798024,2.900095195949747,2.9000739935606443,18.42478868830006,94.21658045498857,169.22527233502996,156.9146227370105,129.72917446400834
battery,39.49643803893612,45.86238603828202,55.21685629031517,55.90655194463836,54.20223499612009,51.655862043220814,47.34347799388882,39.49643803893612,42.837191243775074,51.79183727336731,59.14562541607646,54.623073279147064,50.563919152475215,45.01778089579626
water tanks,17.38568854688599,19.90554103107979,25.00462469212373,27.453483214479004,29.065412984745798,28.296884883596935,26.45296028749575,17.38568854688599,17.914209657798953,23.168837238771975,30.439094261838626,29.646614728190272,27.596305488978643,24.195456266096507
central water tanks,14.356213552063924,15.162500622708137,18.881603330677333,20.93826969101123,20.918964373929686,19.812092624367345,18.76757180354539,14.356213552063924,12.769803901215019,17.10117273303272,21.40786178730497,20.358791927010753,19.280808354291764,17.08351464319105
coal,8.150078636390363,13.135219185700391,26.723898871598443,45.317307524306585,81.83485878001765,119.26159082798232,134.06377787298163,8.150078636390363,8.150061122220796,20.974216321599673,83.58185321290462,145.54261222699054,135.37342817801473,112.91695057600597
heat,17.36998484852278,19.899883891696764,24.9881309737251,27.74096147322293,29.06670588810935,28.58752342529925,26.896331246701802,17.36998484852278,17.921223704330433,23.16133930539456,30.43478207373337,30.25573834089317,28.105421515296666,24.642987415666912
