scenario,,,go,go,go,go,go,go,go,wait,wait,wait,wait,wait,wait,wait
line_volume_limit,,,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt,opt
year,,,2020,2025,2030,2035,2040,2045,2050,2020,2025,2030,2035,2040,2045,2050
cooling,links,cooling pump,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816,70498189.71532816
cooling,loads,cooling,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698,-70498189.71532698
electricity,generators,offwind,48736405.62711141,56288863.920277715,371523798.6694644,688029801.4578222,893945387.6842793,1044454972.3712641,1266570848.4174235,48736405.62711141,47902304.88019933,266153753.93574235,838536993.9909118,1075844555.7464266,1099096980.0569682,1225423061.8906622
electricity,generators,onwind,769720000.6502728,1309622872.9672413,1687707272.8029125,1917235725.5597384,2138125859.9984787,2258922318.0889306,2743978976.6896486,769720000.6502728,1048047770.7304821,1617141896.51903,2197191251.459209,2795358075.2596846,2750396561.7535954,2762695326.2854524
electricity,generators,ror,157846506.87671,157855640.55107275,157846163.49229836,157853747.115765,157828643.32664505,157762218.11832976,157803937.6405781,157846506.87671,157846375.6788797,157821171.66917157,157837201.54744518,157828323.63839898,157787306.92984158,157818572.17552188
electricity,generators,solar,98322235.12003677,209667148.24890327,382730727.04220164,461299972.2938621,478698649.55020255,508084177.6106498,650467590.1404505,98322235.12003677,95287530.48145542,359444736.13161904,464745475.5472076,481732990.92094535,511260933.91868824,647964662.8659196
electricity,links,CCGT,62004933.79859478,21562447.46391408,8533736.4617378,76007246.46062398,2295050.567240796,219052.51821840557,29409.65912002226,62004933.79859478,39575135.655588806,12510548.72883676,4883701.961698706,928800.4289125033,178933.21326999465,29845.92674492032
electricity,links,H2 Electrolysis,-277695.4544431525,-186178.0472877632,-217400.87100811038,-4833641.06036791,-151809485.42570856,-328530101.4139693,-847273324.5731149,-277695.4544431525,-339718.8234632757,-322748.8763914259,-163082931.36389685,-783396543.929939,-787630067.4315654,-836355947.396569
electricity,links,H2 Fuel Cell,87280.60720218632,57641.34626410826,74180.17665960173,2220688.640157791,70366802.48764236,76700230.5575053,61549778.83507399,87280.60720218632,104970.38310262877,103603.51324133607,75587807.59551293,38445008.86872175,39072761.849275716,59415928.618968934
electricity,links,OCGT,4329143.375263168,511972.6483325068,63967.70514791151,22200.99316432135,208908.8001491066,75011.32961471913,24505.2592400841,4329143.375263168,2255902.605249771,112902.42839822907,269800.43522299826,80101.30885858198,70455.06446596168,28893.742295520857
electricity,links,battery charger,-421639.65944809635,-237441.46370742813,-223356.20480911576,-178508.00039226402,-330740.44765000435,-1065563.354775457,-615685.415787669,-421639.65944809635,-517829.60268279584,-382972.5280719693,-477080.52651053655,-520540.91678933357,-1333232.623867894,-624916.9357888594
electricity,links,battery discharger,341555.92981048697,192333.51412841672,180922.75790941532,144602.9426035054,267917.10953032697,863130.1884445332,498727.93398322497,341555.92981048697,419450.05690902326,310222.60138273996,386446.94054846436,421656.68222383095,1079933.7168944457,506205.1768281681
electricity,links,central CHP electric,90872115.49077113,88043264.4575788,76712324.06230326,68569860.0000368,23763890.368312087,6208968.638298471,3394232.762414339,90872115.49077113,91751509.09138721,80596843.76218545,23482177.215229098,3486536.332558701,3613993.233528399,3810863.1937067974
electricity,links,central heat pump,-68281835.35838798,-69791296.91506982,-71172124.68182692,-78233530.01907748,-100952077.4032444,-111811271.247948,-112561287.99783725,-68281835.35838798,-69169029.65304773,-71304567.03634852,-100554063.32794382,-111675376.25434779,-112548055.9748033,-109363968.42127682
electricity,links,central resistive heater,-8591563.885470642,-16505784.489046957,-38869878.48703278,-94122065.3031528,-160987333.1019946,-204052683.0100417,-218088338.82533932,-8591563.885470642,-11089253.379503377,-31393154.66327963,-157721155.88054505,-215592211.36805892,-213755677.92002353,-229445650.0171104
electricity,links,coal,251486004.5583557,78656865.72955525,792271.413677843,33281.137992238764,16838.840128445026,28156.770685029012,12627.699915642252,251486004.5583557,174026598.6535558,5020667.236201991,24066.504503125383,11505.74576189261,32190.959157203717,10378.48371489443
electricity,links,cooling pump,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092,-23499396.571776092
electricity,links,ground heat pump,-417565551.1213595,-420582009.1740767,-433870727.13044953,-502338459.89127475,-677446176.8233794,-783810546.7538694,-805523209.3150012,-417565551.1213595,-419572373.2333055,-426594533.59794253,-674273573.2708718,-812704154.8133315,-813187485.7369027,-817663557.1502526
electricity,links,lignite,1234670008.37978,942389881.6258022,393148179.7834612,18382781.605876226,3286780.0613291524,177917.37615980787,25020.076277247474,1234670008.37978,1125084988.781912,533830003.64664316,2003871.7479226564,12820.179213185764,44181.14996559164,253799.76277062795
electricity,links,nuclear,370841128.6056747,352287257.2578306,297860592.3908553,246451313.21007356,237678920.0779415,231753290.83878526,7844096.387418935,370841128.6056747,358818935.3464644,304163863.95900476,239172069.43349186,238147636.06376967,235496660.72990307,7848275.988634128
electricity,links,oil,78048.22900566041,14785.483850541632,11843.987470817494,6475.145170407888,9403.692312067538,22519.198708647724,10383.056500236804,78048.22900566041,52732.50752391624,22742.532053894505,13549.825143865084,9391.397410052194,26954.15224764749,8160.438471781252
electricity,links,resistive heater,-24998122.64775146,-146569400.3172064,-260669646.01754755,-378625550.66360325,-335283807.03061455,-278008955.36170477,-329293455.724909,-24998122.64775146,-74851800.1615555,-237401644.38290393,-328347255.09338,-291337367.0952618,-292318333.54687077,-293449916.88990986
electricity,links,transmission lines,-118753025.49594866,-170209198.6554243,-105147429.98819947,-315126808.73305243,-481279392.7978544,-562615851.1744213,-744352703.6927477,-118753025.49594866,-133522525.57981251,-159972015.80565143,-490129277.23215306,-646159655.213454,-662488952.7991391,-814369617.1809964
electricity,loads,electricity,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254,-2851391291.3077254
electricity,storage_units,PHS,-10437688.367528789,-4524794.878956627,-13411462.69082154,-19176834.627861347,-20928067.54190115,-19220352.234975737,-20096837.288527105,-10437688.367528789,-6870934.25418408,-11073555.58894524,-20923605.024163134,-18323508.919297464,-18618692.56802021,-20154336.497095745
electricity,storage_units,hydro,316130306.42175555,316136807.55961686,316139438.5676258,316141947.4757771,316135877.88936025,316118961.10964924,316133419.9757644,316130306.42175555,316127680.5132862,316131382.94761395,316136312.8090259,316133581.54851824,316124876.0173138,316135724.92941064
heat,links,gas boiler,1678824592.4554036,1560624560.992566,1436737724.9244885,1147674893.3350863,652554881.1086394,386684433.12817574,294014181.0547526,1678824592.4554036,1628123604.444348,1472652737.3823745,664601293.6109816,284846620.3270606,286882345.9954066,289032073.348221
heat,links,ground heat pump,1374143719.388422,1383070919.500605,1429611008.266239,1665362590.7456827,2234507193.862472,2562579765.5492797,2632075459.2291245,1374143719.388422,1380020992.2000148,1404173685.5698311,2224393565.0029516,2649177354.915652,2651561158.295602,2669081030.655217
heat,links,resistive heater,22498310.38297629,131912460.28548579,234602681.4157929,340762995.5972428,301755426.327553,250208059.82553455,296364110.15241754,22498310.38297629,67366620.14539999,213661479.9446137,295512529.584042,262203630.3857356,263086500.1921839,264104925.20091903
heat,links,water tanks charger,-14191555.24203904,-14750308.169646004,-110283147.35500288,-283138831.11786914,-390863685.95795715,-426594425.00196874,-501360835.5632794,-14191555.24203904,-14377974.914402924,-72453841.69523613,-378453004.2357363,-417645196.7461915,-436530665.3874947,-499615406.5109606
heat,links,water tanks discharger,10459557.480897933,10875739.253387982,81065007.47496669,201072040.1448187,273780210.2973153,298856565.6851355,350641419.9638936,10459557.480897933,10600253.10016439,53699821.679951824,265679319.1592561,293151685.04476804,306734568.85936147,349131695.6333331
heat,loads,heat,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224,-3071733032.4171224
urban heat,links,central CHP heat,116937067.42433125,116212439.53601205,101884962.1444943,75064106.88907434,30825389.475815505,7525456.354195219,4118900.6096121455,116937067.42433125,119895850.23656009,107125507.80784212,30754640.586468823,4342690.676551608,4388344.304930147,4461460.539259755
urban heat,links,central gas boiler,160884554.16686243,150785355.97541764,145598418.50571442,108315252.95557594,41783047.11471326,14931165.993326098,6712502.320287319,160884554.16686243,152965600.40497735,144809159.61566317,44522910.43033365,7857917.938984039,7937934.575779888,7246297.109214554
urban heat,links,central heat pump,216589775.5820839,221454320.62163293,226016679.20985004,249201623.43388668,321337738.56359184,357762368.5849393,359860230.32477117,216589775.5820839,219367500.17723978,226984808.27943963,319986839.0883288,358163077.8228372,361639646.4102176,349397877.81086516
urban heat,links,central resistive heater,7732407.496923559,14855206.0401423,34982890.63832952,84709858.77283762,144888599.7917951,183647414.70903757,196279504.94280568,7732407.496923559,9980328.041553086,28253839.19695164,141949040.2924906,194032990.23125353,192380110.12802124,206501085.01539886
urban heat,links,central water tanks charger,-56105644.90953215,-60618099.52417081,-83302377.40585642,-120000316.68696037,-197777976.2136427,-260713861.52743623,-264782337.38124415,-56105644.90953215,-55820337.02996536,-77508251.26264821,-192668910.15465367,-258231606.71854514,-263010497.0740089,-267725383.51097417
urban heat,links,central water tanks discharger,44511009.919707984,47858476.18112739,65367011.67723606,93257545.51325311,149491667.78390104,187396361.0353223,188360028.77201492,44511009.919707984,44158901.56342281,60883235.249317065,146003567.56307057,184383476.7524397,187212789.9837917,190667473.23764455
urban heat,loads,urban heat,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174,-490547300.24167174
